Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,4,2014,4,0,4,8,None of the Above,NOTA,NOTA,4212,,1009213,1593389,Raver,Buldhana,GEN,,23,63.34,0.42,,203,0.02,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,4,2014,4,0,4,8,None of the Above,NOTA,NOTA,4212,,1009213,1593389,Raver,Jalgaon,GEN,,23,63.34,0.42,,203,0.02,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,5,2014,4,0,4,5,None of the Above,NOTA,NOTA,10546,,978626,1595435,Buldhana,Buldhana,GEN,,17,61.34,1.08,,2619,0.27,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,6,2014,4,0,4,6,None of the Above,NOTA,NOTA,6206,,978491,1672643,Akola,Akola,GEN,,7,58.5,0.63,,2215,0.23,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,6,2014,4,0,4,6,None of the Above,NOTA,NOTA,6206,,978491,1672643,Akola,Washim,GEN,,7,58.5,0.63,,2215,0.23,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,7,2014,4,0,4,9,None of the Above,NOTA,NOTA,4139,,1004061,1612739,Amravati (SC),Amravati,SC,,19,62.26,0.41,,407,0.04,2.94,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,8,2014,4,0,4,10,None of the Above,NOTA,NOTA,3343,,1013445,1564552,Wardha,Amravati,GEN,,21,64.78,0.33,,187,0.02,2.56,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,8,2014,4,0,4,10,None of the Above,NOTA,NOTA,3343,,1013445,1564552,Wardha,Wardha,GEN,,21,64.78,0.33,,187,0.02,2.56,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,9,2014,4,0,4,8,None of the Above,NOTA,NOTA,4816,,1050316,1677266,Ramtek (SC),Nagpur,SC,,23,62.62,0.46,,60,0.01,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,10,2014,4,0,4,5,None of the Above,NOTA,NOTA,3460,,1085038,1900784,Nagpur,Nagpur,GEN,,33,57.08,0.32,,1052,0.1,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,11,2014,4,0,4,12,None of the Above,NOTA,NOTA,4032,,1197196,1655852,Bhandara - Gondiya,Bhandara,GEN,,26,72.3,0.34,,2077,0.17,2.44,,NOTA,5897,False,,,,,,,,,,,,,,,,
16,11,2014,4,0,4,12,None of the Above,NOTA,NOTA,4032,,1197196,1655852,Bhandara - Gondiya,Gondia,GEN,,26,72.3,0.34,,2077,0.17,2.44,,NOTA,5897,False,,,,,,,,,,,,,,,,
16,12,2014,4,0,4,5,None of the Above,NOTA,NOTA,24488,,1027129,1468437,Gadchiroli-Chimur (ST),Chandrapur,ST,,11,69.95,2.38,,1976,0.19,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,12,2014,4,0,4,5,None of the Above,NOTA,NOTA,24488,,1027129,1468437,Gadchiroli-Chimur (ST),Gadchiroli,ST,,11,69.95,2.38,,1976,0.19,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,12,2014,4,0,4,5,None of the Above,NOTA,NOTA,24488,,1027129,1468437,Gadchiroli-Chimur (ST),Gondia,ST,,11,69.95,2.38,,1976,0.19,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,13,2014,4,0,4,8,None of the Above,NOTA,NOTA,8257,,1109743,1753690,Chandrapur,Chandrapur,GEN,,18,63.28,0.74,,2428,0.22,3.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,13,2014,4,0,4,8,None of the Above,NOTA,NOTA,8257,,1109743,1753690,Chandrapur,Yavatmal,GEN,,18,63.28,0.74,,2428,0.22,3.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,14,2014,4,0,4,10,None of the Above,NOTA,NOTA,5583,,1032949,1755292,Yavatmal-Washim,Washim,GEN,,26,58.85,0.54,,875,0.08,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,14,2014,4,0,4,10,None of the Above,NOTA,NOTA,5583,,1032949,1755292,Yavatmal-Washim,Yavatmal,GEN,,26,58.85,0.54,,875,0.08,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,15,2014,4,0,4,14,None of the Above,NOTA,NOTA,3107,,1051164,1586194,Hingoli,Hingoli,GEN,,23,66.27,0.3,,593,0.06,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,15,2014,4,0,4,14,None of the Above,NOTA,NOTA,3107,,1051164,1586194,Hingoli,Nanded,GEN,,23,66.27,0.3,,593,0.06,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,15,2014,4,0,4,14,None of the Above,NOTA,NOTA,3107,,1051164,1586194,Hingoli,Yavatmal,GEN,,23,66.27,0.3,,593,0.06,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,16,2014,4,0,4,11,None of the Above,NOTA,NOTA,3155,,1013350,1687057,Nanded,Nanded,GEN,,23,60.07,0.31,,88,0.01,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,17,2014,4,0,4,4,None of the Above,NOTA,NOTA,17502,,1162233,1803792,Parbhani,Jalna,GEN,,17,64.43,1.51,,5098,0.44,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,17,2014,4,0,4,4,None of the Above,NOTA,NOTA,17502,,1162233,1803792,Parbhani,Parbhani,GEN,,17,64.43,1.51,,5098,0.44,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,18,2014,4,0,4,10,None of the Above,NOTA,NOTA,4128,,1066259,1612056,Jalna,Chhatrapati Sambhaji Nagar,GEN,,22,66.14,0.39,,659,0.06,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,18,2014,4,0,4,10,None of the Above,NOTA,NOTA,4128,,1066259,1612056,Jalna,Jalna,GEN,,22,66.14,0.39,,659,0.06,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
