District,Year,Select Contraceptive,Number
Amravati,2014,Oral Pills,34368
Amravati,2014,Centchroman (Weekly Pills),20
Amravati,2014,Condom Pieces,256433
Beed,2014,Oral Pills,114735
Beed,2014,Centchroman (Weekly Pills),0
Beed,2014,Condom Pieces,353650
Bhandara,2014,Oral Pills,16328
Bhandara,2014,Centchroman (Weekly Pills),0
Bhandara,2014,Condom Pieces,161158
Buldhana,2014,Oral Pills,34286
Buldhana,2014,Centchroman (Weekly Pills),0
Buldhana,2014,Condom Pieces,284629
Chandrapur,2014,Oral Pills,26459
Chandrapur,2014,Centchroman (Weekly Pills),2
Chandrapur,2014,Condom Pieces,199014
Chh. Sambhaji Nagar,2014,Oral Pills,67204
Chh. Sambhaji Nagar,2014,Centchroman (Weekly Pills),0
Chh. Sambhaji Nagar,2014,Condom Pieces,809888
Dharashiv,2014,Oral Pills,32065
Dharashiv,2014,Centchroman (Weekly Pills),0
Dharashiv,2014,Condom Pieces,110090
Dhule,2014,Oral Pills,74272
