District,Year,Select Disease,Number
Ratnagiri,2018,Pertussis,0
Ratnagiri,2018,Tetanus Neonatorum,0
Ratnagiri,2018,Tuberculosis (TB),6
Ratnagiri,2018,Acute Flaccid Paralysis (AFP),4
Ratnagiri,2018,Measles,20
Ratnagiri,2018,Malaria,1
Ratnagiri,2018,Diarrhea,1395
Sangli,2018,Pneumonia,413
Sangli,2018,Asthma,6
Sangli,2018,Sepsis,27
Sangli,2018,Diphtheria,0
Sangli,2018,Pertussis,0
Sangli,2018,Tetanus Neonatorum,0
Sangli,2018,Tuberculosis (TB),22
Sangli,2018,Acute Flaccid Paralysis (AFP),7
Sangli,2018,Measles,23
Sangli,2018,Malaria,1
Sangli,2018,Diarrhea,2100
Satara,2018,Pneumonia,216
Satara,2018,Asthma,5
Satara,2018,Sepsis,48
Satara,2018,Diphtheria,0
Satara,2018,Pertussis,0
Satara,2018,Tetanus Neonatorum,0
Satara,2018,Tuberculosis (TB),10
Satara,2018,Acute Flaccid Paralysis (AFP),0
Satara,2018,Measles,28
Satara,2018,Malaria,33
Satara,2018,Diarrhea,2740
Sindhudurg,2018,Pneumonia,44
Sindhudurg,2018,Asthma,9
Sindhudurg,2018,Sepsis,18
Sindhudurg,2018,Diphtheria,0
Sindhudurg,2018,Pertussis,0
Sindhudurg,2018,Tetanus Neonatorum,0
Sindhudurg,2018,Tuberculosis (TB),3
Sindhudurg,2018,Acute Flaccid Paralysis (AFP),0
Sindhudurg,2018,Measles,0
Sindhudurg,2018,Malaria,1
Sindhudurg,2018,Diarrhea,370
Solapur,2018,Pneumonia,328
Solapur,2018,Asthma,39
Solapur,2018,Sepsis,24
Solapur,2018,Diphtheria,0
Solapur,2018,Pertussis,0
Solapur,2018,Tetanus Neonatorum,0
Solapur,2018,Tuberculosis (TB),23
Solapur,2018,Acute Flaccid Paralysis (AFP),5
Solapur,2018,Measles,66
Solapur,2018,Malaria,70
Solapur,2018,Diarrhea,1302
Thane,2018,Pneumonia,539
Thane,2018,Asthma,86
Thane,2018,Sepsis,304
