District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2020,Nevasa,Infants with Moderate Acute Malnutrition,5.23
Ahilyanagar,2020,Nevasa,Infants with Severe Acute Malnutrition,1.03
Ahilyanagar,2020,Shevgaon,Infants at Normal Weight,93.56
Ahilyanagar,2020,Shevgaon,Infants with Moderate Acute Malnutrition,5.56
Ahilyanagar,2020,Shevgaon,Infants with Severe Acute Malnutrition,0.88
Ahilyanagar,2020,Pathardi,Infants at Normal Weight,94.53
Ahilyanagar,2020,Pathardi,Infants with Moderate Acute Malnutrition,4.82
Ahilyanagar,2020,Pathardi,Infants with Severe Acute Malnutrition,0.65
Ahilyanagar,2020,Nagar,Infants at Normal Weight,94.47
Ahilyanagar,2020,Nagar,Infants with Moderate Acute Malnutrition,5.06
Ahilyanagar,2020,Nagar,Infants with Severe Acute Malnutrition,0.47
Ahilyanagar,2020,Rahuri,Infants at Normal Weight,94.12
Ahilyanagar,2020,Rahuri,Infants with Moderate Acute Malnutrition,5
Ahilyanagar,2020,Rahuri,Infants with Severe Acute Malnutrition,0.87
Ahilyanagar,2020,Parner,Infants at Normal Weight,93.56
Ahilyanagar,2020,Parner,Infants with Moderate Acute Malnutrition,5.76
Ahilyanagar,2020,Parner,Infants with Severe Acute Malnutrition,0.68
Ahilyanagar,2020,Srigonda,Infants at Normal Weight,95.31
Ahilyanagar,2020,Srigonda,Infants with Moderate Acute Malnutrition,4.09
Ahilyanagar,2020,Srigonda,Infants with Severe Acute Malnutrition,0.59
Ahilyanagar,2020,Karjat,Infants at Normal Weight,93.54
Ahilyanagar,2020,Karjat,Infants with Moderate Acute Malnutrition,5.87
