District,Year,Select Effect,Number
Sindhudurg,2010,Other Complications,33
Solapur,2010,Other Complications,161
Ahilyanagar,2009,Other Complications,9
Akola,2009,Other Complications,50
Amravati,2009,Other Complications,34
Jalgaon,2009,Other Complications,1
Mumbai,2009,Other Complications,53
Pune,2009,Other Complications,44
Raigad,2009,Other Complications,16
Ratnagiri,2009,Other Complications,1
Sangli,2009,Other Complications,2
Solapur,2009,Other Complications,12
Thane,2009,Other Complications,3
Washim,2009,Other Complications,31
Ahilyanagar,2008,Other Complications,12
Akola,2008,Other Complications,2
Amravati,2008,Other Complications,68
Beed,2008,Other Complications,97
Bhandara,2008,Other Complications,1
Chandrapur,2008,Other Complications,10
Dharashiv,2008,Other Complications,1
Gadchiroli,2008,Other Complications,6
Gondia,2008,Other Complications,1
Hingoli,2008,Other Complications,120
Jalna,2008,Other Complications,165
Mumbai,2008,Other Complications,44
Nandurbar,2008,Other Complications,138
Pune,2008,Other Complications,33
Raigad,2008,Other Complications,32
Sangli,2008,Other Complications,50
Sindhudurg,2008,Other Complications,88
Solapur,2008,Other Complications,5
Thane,2008,Other Complications,140
