District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Gadchiroli,2017,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Aarmori,Total,162,162,158,148,1,13,97
Gadchiroli,2018,Aarmori,Rural,162,162,158,148,1,13,97
Gadchiroli,2018,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Aheri,Total,180,180,178,145,21,14,102
Gadchiroli,2018,Aheri,Rural,180,180,178,145,21,14,102
Gadchiroli,2018,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Bhamragad,Total,98,98,95,71,14,13,62
Gadchiroli,2018,Bhamragad,Rural,98,98,95,71,14,13,62
Gadchiroli,2018,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Chomoshi,Total,288,288,282,264,4,20,153
Gadchiroli,2018,Chomoshi,Rural,288,288,282,264,4,20,153
Gadchiroli,2018,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Desaiganj,Total,123,123,121,85,26,12,50
Gadchiroli,2018,Desaiganj,Rural,82,82,82,69,1,12,34
Gadchiroli,2018,Desaiganj,Urban,41,41,39,16,25,0,16
Gadchiroli,2018,Dhanora,Total,159,159,155,130,10,19,113
Gadchiroli,2018,Dhanora,Rural,159,159,155,130,10,19,113
Gadchiroli,2018,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Etapalli,Total,156,156,153,144,4,8,105
Gadchiroli,2018,Etapalli,Rural,156,156,153,144,4,8,105
Gadchiroli,2018,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Gadchiroli,Total,196,196,192,133,46,17,135
Gadchiroli,2018,Gadchiroli,Rural,148,148,146,124,9,15,124
Gadchiroli,2018,Gadchiroli,Urban,48,48,46,9,37,2,11
Gadchiroli,2018,Korachi,Total,100,100,98,87,9,4,73
Gadchiroli,2018,Korachi,Rural,100,100,98,87,9,4,73
Gadchiroli,2018,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Kurkheda,Total,141,141,132,129,7,5,124
Gadchiroli,2018,Kurkheda,Rural,141,141,132,129,7,5,124
Gadchiroli,2018,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2018,Mulchera,Total,106,106,106,101,0,5,73
