District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Jalgaon,2014,1984,5310,10.4,7.3,12.3
Jalna,2014,331,2209,7.5,1.6,15.9
Kolhapur,2014,4011,7847,21.6,16,26.2
Latur,2014,3617,3993,16.1,12,23.4
Mumbai,2014,21248,32699,30.8,23.7,38.1
Nagpur,2014,10806,4723,28.3,28.3,28.2
Nanded,2014,1700,6470,12.7,3.9,31.3
Nandurbar,2014,1090,638,7.2,5.4,16.2
Nashik,2014,5908,3948,11.1,10.2,13
Palghar,2014,722,2827,9.1,2.9,20
Parbhani,2014,1918,219,8.3,9.7,3.6
Pune,2014,10612,19030,20.8,18.4,22.5
Raigad,2014,1950,2546,14.4,14.2,14.4
Ratnagiri,2014,1487,1226,19.9,18.4,22
Sangli,2014,2378,3901,12.6,12.1,13
Satara,2014,2486,6569,19,14.3,21.8
Sindhudurg,2014,1587,565,23.3,27.1,16.6
Solapur,2014,2938,6785,13.5,9.3,16.7
Thane,2014,5730,16536,20.8,11.5,28.9
Wardha,2014,785,3341,17.7,6.5,29.7
Washim,2014,69,1158,5.9,0.8,9.8
Yavatmal,2014,1946,3346,12,7.7,17.6
Ahilyanagar,2013,2537,6405,11.5,11.4,11.6
Akola,2013,6934,2301,22.1,22.3,21.7
Amravati,2013,4064,6032,22.2,14.6,34.4
Beed,2013,1484,25,3.4,6.5,0.1
Bhandara,2013,4073,1124,26.9,24.3,43.5
Buldhana,2013,1175,1353,5.7,5.4,6
Chandrapur,2013,1944,4241,19.9,9.3,41.2
Chh. Sambhaji Nagar,2013,398,1475,4.4,1.6,8
Dharashiv,2013,1647,2097,14.4,10.5,20.3
Dhule,2013,13,741,1.8,0.1,4.4
Gadchiroli,2013,1447,30,10.2,10.2,10.2
Gondia,2013,2161,1179,17.1,12.7,48.1
Hingoli,2013,508,476,6.2,4.4,11.2
Jalgaon,2013,2273,4534,10.1,8.4,11.3
Jalna,2013,367,2073,7.2,1.9,14.6
Kolhapur,2013,3119,9035,19.9,11.9,25.9
Latur,2013,1251,1715,6.1,4.7,7.9
Mumbai,2013,14981,30554,26.9,17.4,36.6
Nagpur,2013,9649,4827,25.2,24,28.2
Nanded,2013,3779,5903,14.1,8.6,23.8
Nandurbar,2013,955,656,7.2,5.2,16.2
Nashik,2013,5626,4282,9.5,9.1,10
Palghar,2013,44,,1.7,1.7,
Parbhani,2013,1694,81,6.5,9.2,0.9
Pune,2013,11607,21274,22.7,19.5,24.9
Raigad,2013,1783,1855,11.1,12.8,9.9
Ratnagiri,2013,1559,969,16.6,18.7,14.1
Sangli,2013,1999,3857,11.2,10.7,11.5
Satara,2013,1940,6469,17.4,12.3,19.9
Sindhudurg,2013,1697,415,22.2,26.7,13.2
Solapur,2013,2639,6206,12.4,8.7,15.2
Thane,2013,5070,13173,13.7,6.9,22.2
Wardha,2013,1120,1953,14.8,12.3,16.9
Washim,2013,89,1107,7.3,1.1,14
Yavatmal,2013,763,2138,8.9,3.5,19.9
Ahilyanagar,2012,2286,9641,13.6,9.1,15.3
Akola,2012,4837,2954,23.7,26.8,19.9
Amravati,2012,3100,5760,21.1,12,35.9
Beed,2012,1434,918,4.9,7.5,3.2
Bhandara,2012,3392,1130,24.8,20.7,62.5
Buldhana,2012,1007,2712,7.7,4.9,9.7
Chandrapur,2012,1606,4167,20,8.5,41.8
Chh. Sambhaji Nagar,2012,144,1423,3.5,0.6,7.4
Dharashiv,2012,1504,2549,11.2,8.7,13.5
Dhule,2012,24,1216,3.4,0.1,10.8
Gadchiroli,2012,1342,89,9.6,9.2,28.1
Gondia,2012,2082,1007,15.9,11.9,55.1
Hingoli,2012,492,326,5.4,4.3,8.4
Jalgaon,2012,2885,4827,10.4,8.6,11.8
Jalna,2012,363,1330,3.9,2,5.3
Kolhapur,2012,605,8879,15.5,2.6,23.8
Latur,2012,1258,906,4.3,4.9,3.7
Mumbai,2012,41662,5291,26.3,49.9,5.6
Nagpur,2012,7212,3364,19.7,17.5,27
Nanded,2012,3167,4643,9.4,6.2,14.6
Nandurbar,2012,869,140,5.9,5.7,7.9
Nashik,2012,4946,4086,8.9,8.3,9.8
Palghar,2012,,,,,
Parbhani,2012,1743,191,6.5,10.4,1.4
Pune,2012,11033,20878,21.8,22.4,21.4
Raigad,2012,1841,5288,19.8,13.5,23.7
Ratnagiri,2012,1339,1730,17.4,15.5,19.2
Sangli,2012,1259,5182,13,8.3,15
Satara,2012,1151,12554,26.1,8.5,32.2
Sindhudurg,2012,1602,1043,26.8,25,30.1
Solapur,2012,2151,7481,13.8,7.6,17.9
Thane,2012,6098,15952,16.3,7.9,27.4
Wardha,2012,931,3089,20.7,10.9,28.4
Washim,2012,75,1350,6.5,1,9.4
Yavatmal,2012,1139,3468,10.7,4.5,19.5
Ahilyanagar,2011,1346,10972,14.9,6.4,17.9
Akola,2011,3032,1129,14.2,17.3,9.5
Amravati,2011,3085,5516,21,12.9,32.3
Beed,2011,763,2722,8.1,4.8,10
Bhandara,2011,3046,793,22.5,19.2,64.7
Buldhana,2011,247,2840,7.2,0.9,17.2
Chandrapur,2011,1792,4024,18.3,9,33.7
Chh. Sambhaji Nagar,2011,44,2474,4.3,0.2,6.6
Dharashiv,2011,1406,2438,12.4,10.3,14.1
Dhule,2011,1948,1769,8.1,7.2,9.3
Gadchiroli,2011,1015,80,7.6,7.3,16.9
Gondia,2011,2036,1058,16.1,11.7,54.8
Hingoli,2011,204,392,3.7,2.6,4.9
Jalgaon,2011,2406,2876,7.9,8.3,7.6
Jalna,2011,533,2574,7.6,3,11.1
Kolhapur,2011,497,8315,14.4,2.2,21.5
Latur,2011,259,677,1.9,1.2,2.5
Mumbai,2011,42135,,24.2,51,0
Nagpur,2011,6056,1656,16.8,15.9,21.4
Nanded,2011,436,5884,8.9,1.1,18.3
Nandurbar,2011,976,329,8.1,7.3,11.5
Nashik,2011,3874,5017,9.1,6.7,12.6
Palghar,2011,,,,,
Parbhani,2011,1334,728,7.3,8.8,5.6
Pune,2011,7299,15830,16.7,17.2,16.5
Raigad,2011,1352,5495,19.8,12.3,23.3
Ratnagiri,2011,1044,3416,18.8,13.2,21.6
Sangli,2011,2086,5777,15.1,16.2,14.7
Satara,2011,1096,12049,25.2,10.6,28.8
Sindhudurg,2011,1365,113,14.1,20.3,3
Solapur,2011,1941,6080,12.8,7.2,17
Thane,2011,4661,14309,14.3,7.7,19.8
Wardha,2011,1793,2398,18.7,12.7,28.9
Washim,2011,3,1662,9.5,0.1,13.9
Yavatmal,2011,1054,3571,11.3,4.3,21.6
Ahilyanagar,2010,413,3165,4,1.4,5.3
Akola,2010,829,189,3,5.6,1
Amravati,2010,500,2317,6.5,1.3,38.2
Beed,2010,808,536,3.5,4.1,2.9
Bhandara,2010,2005,627,16.9,14.2,41.8
Buldhana,2010,824,689,3.7,4,3.3
Chandrapur,2010,,,0,0,0
Chh. Sambhaji Nagar,2010,262,1449,3.3,1.4,4.3
Dharashiv,2010,683,633,5.1,3.2,13.9
Dhule,2010,229,75,0.9,1,0.9
Gadchiroli,2010,2159,88,17.2,17.4,13.3
Gondia,2010,1431,808,15,11,41.7
Hingoli,2010,59,438,3,1.1,3.9
Jalgaon,2010,774,2247,4.8,2.8,6.5
Jalna,2010,391,1220,4.2,2.6,5.3
Kolhapur,2010,2447,3306,9.9,14.1,8.1
Latur,2010,618,531,2.3,2.4,2.3
Mumbai,2010,28103,,15.7,29.8,0
Nagpur,2010,1015,260,2.7,2.4,4.5
Nanded,2010,863,3719,7.6,2.9,12
Nandurbar,2010,315,248,2.8,2,5.6
Nashik,2010,3286,3810,8.3,6.7,10.5
Palghar,2010,,,,,
Parbhani,2010,817,390,4.4,6.3,2.7
Pune,2010,6715,8785,11.3,18.8,8.7
Raigad,2010,1274,4591,17.9,14.3,19.3
Ratnagiri,2010,401,2362,13.4,6.3,16.5
Sangli,2010,748,587,2.6,5.4,1.6
Satara,2010,745,8830,20,7.9,23
Sindhudurg,2010,1033,1137,22.6,17.2,31.6
Solapur,2010,2037,245,3.2,8.5,0.5
Thane,2010,979,4310,3.7,1.7,5.1
Wardha,2010,599,1324,8.3,4,16.2
Washim,2010,111,900,4.8,1.3,7.3
Yavatmal,2010,1264,1525,6.6,3.9,14.9
Ahilyanagar,2009,680,2796,5.4,4.6,5.7
Akola,2009,1128,137,8.3,9.8,3.7
Amravati,2009,1691,1384,8.6,7.4,10.6
Beed,2009,748,388,3.2,4.3,2.1
Bhandara,2009,1504,263,17.1,15.3,57
Buldhana,2009,503,1396,6.9,3.9,9.7
Chandrapur,2009,1068,2790,13.3,6.5,22
Chh. Sambhaji Nagar,2009,17,1178,2.6,0.1,4.2
Dharashiv,2009,805,463,5.8,7.7,4.1
Dhule,2009,89,241,2.2,0.7,8.5
Gadchiroli,2009,4546,376,7.5,7,72.7
Gondia,2009,1338,492,16.6,12.5,136.7
Hingoli,2009,129,490,6.9,1.6,57.9
Jalgaon,2009,1455,1582,4.7,5.6,4
Jalna,2009,318,1014,4,2.5,5
