District,Year,Taluka,Industrial Power Consumption
Chandrapur,2013,Savali,2034000
Chandrapur,2013,Sindevahi,1810000
Chandrapur,2013,Bhadravati,2029000
Chandrapur,2013,Chandrapur,11330000
Chandrapur,2013,Mul,4751000
Chandrapur,2013,Ponbhurna,407000
Chandrapur,2013,Ballarpur,3022000
Chandrapur,2013,Korpana,1056000
Chandrapur,2013,Rajura,1522000
Chandrapur,2013,Gondpipari,1395000
Chandrapur,2013,Jivati,192000
Chandrapur,2014,Varora,5576000
Chandrapur,2014,Chimur,8411000
Chandrapur,2014,Nagbhid,2118000
Chandrapur,2014,Bramhapuri,2395000
Chandrapur,2014,Savali,2062000
Chandrapur,2014,Sindevahi,1823000
Chandrapur,2014,Bhadravati,1783000
Chandrapur,2014,Chandrapur,51556000
Chandrapur,2014,Mul,7226000
Chandrapur,2014,Ponbhurna,432000
Chandrapur,2014,Ballarpur,2987000
Chandrapur,2014,Korpana,7572000
Chandrapur,2014,Rajura,4764000
Chandrapur,2014,Gondpipari,966000
Chandrapur,2014,Jivati,179000
Chandrapur,2015,Varora,3920000
Chandrapur,2015,Chimur,1910000
Chandrapur,2015,Nagbhid,2110000
Chandrapur,2015,Bramhapuri,2440000
Chandrapur,2015,Savali,2200000
Chandrapur,2015,Sindevahi,1720000
Chandrapur,2015,Bhadravati,2390000
Chandrapur,2015,Chandrapur,12010000
Chandrapur,2015,Mul,5270000
Chandrapur,2015,Ponbhurna,400000
Chandrapur,2015,Ballarpur,3450000
Chandrapur,2015,Korpana,1560000
Chandrapur,2015,Rajura,1470000
Chandrapur,2015,Gondpipari,1040000
Chandrapur,2015,Jivati,160000
Chandrapur,2016,Varora,3916000
Chandrapur,2016,Chimur,1918000
Chandrapur,2016,Nagbhid,2235000
Chandrapur,2016,Bramhapuri,2514000
Chandrapur,2016,Savali,2473000
Chandrapur,2016,Sindevahi,1727000
Chandrapur,2016,Bhadravati,2425000
Chandrapur,2016,Chandrapur,12662000
Chandrapur,2016,Mul,5703000
Chandrapur,2016,Ponbhurna,406000
Chandrapur,2016,Ballarpur,3184000
Chandrapur,2016,Korpana,1519000
Chandrapur,2016,Rajura,1711000
Chandrapur,2016,Gondpipari,1109000
Chandrapur,2016,Jivati,150000
Chandrapur,2017,Varora,36373000
Chandrapur,2017,Chimur,8218000
Chandrapur,2017,Nagbhid,5806000
Chandrapur,2017,Bramhapuri,21752000
Chandrapur,2017,Savali,3365000
Chandrapur,2017,Sindevahi,2262000
Chandrapur,2017,Bhadravati,16408000
Chandrapur,2017,Chandrapur,396777000
Chandrapur,2017,Mul,11942000
Chandrapur,2017,Ponbhurna,457000
Chandrapur,2017,Ballarpur,14795000
Chandrapur,2017,Korpana,27086000
Chandrapur,2017,Rajura,43958000
Chandrapur,2017,Gondpipari,1295000
Chandrapur,2017,Jivati,158000
Chandrapur,2018,Varora,42782000
Chandrapur,2018,Chimur,7302000
Chandrapur,2018,Nagbhid,6757000
Chandrapur,2018,Bramhapuri,21491000
Chandrapur,2018,Savali,3677000
