District,Year,Group,Approved Posts,Positions Filled,Number of women
Mumbai City,2014,Class B,15224.0,10375.0,3263.0
Mumbai City,2014,Class C,82384.0,67379.0,13182.0
Mumbai City,2014,Class D,18555.0,13766.0,2504.0
Mumbai City,2015,Class A,4659.0,2687.0,563.0
Mumbai City,2015,Class B,11987.0,8919.0,2840.0
Mumbai City,2015,Class C,47290.0,35869.0,7996.0
Mumbai City,2015,Class D,13788.0,10715.0,1847.0
Mumbai City,2016,Class A,4659.0,2686.0,563.0
Mumbai City,2016,Class B,11987.0,8889.0,2831.0
Mumbai City,2016,Class C,47290.0,35894.0,8005.0
Mumbai City,2016,Class D,13788.0,10715.0,1847.0
Mumbai City,2017,Class A,4673.0,3284.0,645.0
Mumbai City,2017,Class B,12052.0,8572.0,2823.0
Mumbai City,2017,Class C,57994.0,45778.0,9741.0
Mumbai City,2017,Class D,13540.0,10108.0,1811.0
Mumbai City,2018,Class A,5352.0,3599.0,698.0
Mumbai City,2018,Class B,11600.0,7597.0,2606.0
Mumbai City,2018,Class C,58099.0,43687.0,9673.0
Mumbai City,2018,Class D,13498.0,9051.0,1612.0
Mumbai City,2019,Class A,5345.0,3266.0,705.0
Mumbai City,2019,Class B,11771.0,7371.0,2531.0
Mumbai City,2019,Class C,58683.0,43379.0,10026.0
Mumbai City,2019,Class D,13346.0,8768.0,1558.0
Mumbai City,2020,Class A,5450.0,3379.0,724.0
