Year,District,Number of Workers,Number of Establishments,Houses used for Commercial Purposes,Houses used for Residential cum Commercial Purposes,Govt / PSU,Private Proprietary,Private Partnership,Private Company,Private Self Help Group,Co-operative,Private Non-profit Institution,Private Other,Private Sector,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions, Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Other SOF,Perennial,Non-Perennial,SC,ST,OBC,Others,Hindu,Islam,Christian,Sikh,Buddhist,Zoroastrian,Jain,Others.1
1998,Nanded,141773,62583,,,32206,,,,,3510,2019.0,104038.0,106057,55167.0,483.0,229.0,310.0,,,6394.0,61159,1424,4247,2397,13125.0,38077,,,,,,,,
1998,Dharashiv,94091,43828,,,17330,,,,,2196,389.0,74176.0,74565,35207.0,754.0,384.0,260.0,,,7223.0,42606,1222,3381,1567,9987.0,26040,,,,,,,,
1998,Latur,114370,43312,,,23889,,,,,5281,764.0,84436.0,85200,32040.0,475.0,200.0,182.0,,,10415.0,42022,1290,2739,910,8093.0,28005,,,,,,,,
1998,Buldhana,146996,62175,,,35413,,,,,4935,3237.0,103411.0,106648,49377.0,2622.0,1161.0,651.0,,,8364.0,57299,4876,4170,2259,16436.0,33008,,,,,,,,
1998,Akola,178568,84538,,,28055,,,,,3070,1256.0,146187.0,147443,66556.0,1244.0,678.0,1565.0,,,14495.0,79734,4804,6919,2813,17404.0,53817,,,,,,,,
1998,Amravati,211650,89327,,,63667,,,,,4630,2454.0,140899.0,143353,72746.0,1306.0,595.0,509.0,,,14171.0,86948,2379,7610,5544,32900.0,34214,,,,,,,,
1998,Yavatmal,177244,77762,,,41033,,,,,3393,935.0,131883.0,132818,63535.0,1623.0,509.0,1063.0,,,11032.0,73948,3814,7613,5252,25609.0,33418,,,,,,,,
1998,Wardha,106153,41050,,,32702,,,,,8015,2621.0,62815.0,65436,32283.0,686.0,287.0,294.0,,,7500.0,40255,795,5830,2011,15262.0,11295,,,,,,,,
1998,Nagpur,485097,154245,,,151837,,,,,17642,6818.0,308800.0,315618,131972.0,3542.0,1251.0,663.0,,,16817.0,151476,2769,20485,11289,47590.0,60628,,,,,,,,
1998,Bhandara,225607,98003,,,47760,,,,,5342,2022.0,170483.0,172505,76965.0,4446.0,1071.0,1613.0,,,13908.0,93264,4739,20575,7931,33756.0,26973,,,,,,,,
1998,Chandrapur,198105,70783,,,76363,,,,,3388,2259.0,116095.0,118354,56524.0,2149.0,322.0,1714.0,,,10074.0,68209,2574,10774,6018,28722.0,16856,,,,,,,,
1998,Gadchiroli,68847,33183,,,26039,,,,,1785,557.0,40466.0,41023,25456.0,591.0,150.0,355.0,,,6631.0,31012,2171,2959,5233,12278.0,6542,,,,,,,,
1990,Mumbai City,2425649,423419,,,486216,,,,,108157,,,1831276,,,,,,,,415552,7867,14066,4184,,405169,,,,,,,,
1990,Pune,847723,200061,,,189743,,,,,42309,,,615671,,,,,,,,187712,12349,13355,4151,,182555,,,,,,,,
1990,Satara,208209,82898,,,49245,,,,,20017,,,138947,,,,,,,,74120,8778,5829,884,,76185,,,,,,,,
1990,Sangli,261764,87202,,,44024,,,,,25345,,,192395,,,,,,,,80346,6856,7274,730,,79198,,,,,,,,
1990,Solapur,346916,126293,,,68944,,,,,27964,,,250008,,,,,,,,117733,8560,10437,2115,,113741,,,,,,,,
1990,Kolhapur,449981,188891,,,49698,,,,,47532,,,352751,,,,,,,,146244,42647,15407,2542,,170942,,,,,,,,
1990,Chhatrapati Sambhaji Nagar,181175,59434,,,40371,,,,,17269,,,123535,,,,,,,,56499,2935,4309,1305,,53820,,,,,,,,
1990,Jalna,62490,28427,,,11332,,,,,3038,,,48120,,,,,,,,26258,2169,2997,675,,24755,,,,,,,,
1990,Parbhani,111364,46144,,,32992,,,,,8383,,,69989,,,,,,,,43164,2980,3762,1003,,41379,,,,,,,,
1990,Beed,99420,45996,,,27573,,,,,3973,,,67874,,,,,,,,42646,3350,4297,915,,40784,,,,,,,,
