District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Ratnagiri,2013,"Transportation, Warehousing And Transportation",39.0,3940,22
Ratnagiri,2013,"Finance, Insurance, Real Estate And Trade Services",441.0,1688,1374
Ratnagiri,2013,"Collective, Social And Individual Service",5743.0,13179,6208
Ratnagiri,2014,Agriculture,170.0,23,55
Ratnagiri,2014,Mining,0.0,0,0
Ratnagiri,2014,Commodity Manufacturing,81.0,0,8801
Ratnagiri,2014,"Electricity Generation, Gas, Water And Sewage Services",0.0,1675,420
Ratnagiri,2014,Construction,1472.0,2124,18
Ratnagiri,2014,Wholesale And Retail Trade And Hotel Business,0.0,0,370
Ratnagiri,2014,"Transportation, Warehousing And Transportation",52.0,3960,25
Ratnagiri,2014,"Finance, Insurance, Real Estate And Trade Services",531.0,1918,1554
Ratnagiri,2014,"Collective, Social And Individual Service",5803.0,13379,6333
Ratnagiri,2015,Agriculture,147.0,18,0
Ratnagiri,2015,Mining,0.0,0,0
Ratnagiri,2015,Commodity Manufacturing,75.0,0,8510
Ratnagiri,2015,"Electricity Generation, Gas, Water And Sewage Services",1.0,1677,410
Ratnagiri,2015,Construction,1375.0,2081,17
Ratnagiri,2015,Wholesale And Retail Trade And Hotel Business,0.0,0,360
Ratnagiri,2015,"Transportation, Warehousing And Transportation",42.0,3945,27
Ratnagiri,2015,"Finance, Insurance, Real Estate And Trade Services",438.0,1677,1372
Ratnagiri,2015,"Collective, Social And Individual Service",5745.0,13170,6201
Ratnagiri,2016,Agriculture,153.0,17,0
Ratnagiri,2016,Mining,1.0,0,0
Ratnagiri,2016,Commodity Manufacturing,82.0,0,8583
Ratnagiri,2016,"Electricity Generation, Gas, Water And Sewage Services",2.0,1690,421
Ratnagiri,2016,Construction,1371.0,2086,19
Ratnagiri,2016,Wholesale And Retail Trade And Hotel Business,0.0,0,364
Ratnagiri,2016,"Transportation, Warehousing And Transportation",47.0,4011,24
Ratnagiri,2016,"Finance, Insurance, Real Estate And Trade Services",455.0,1690,1412
Ratnagiri,2016,"Collective, Social And Individual Service",5772.0,13174,8315
Ratnagiri,2017,Agriculture,174.0,189,1547
Ratnagiri,2017,Mining,0.0,0,9
Ratnagiri,2017,Commodity Manufacturing,86.0,214,10490
Ratnagiri,2017,"Electricity Generation, Gas, Water And Sewage Services",0.0,2739,441
Ratnagiri,2017,Construction,1358.0,3544,79
Ratnagiri,2017,Wholesale And Retail Trade And Hotel Business,0.0,0,501
Ratnagiri,2017,"Transportation, Warehousing And Transportation",33.0,4986,20
Ratnagiri,2017,"Finance, Insurance, Real Estate And Trade Services",72.0,1476,1340
Ratnagiri,2017,"Collective, Social And Individual Service",17.0,17,7
Ratnagiri,2018,Agriculture,29.0,29,1590
Ratnagiri,2018,Mining,0.0,0,0
Ratnagiri,2018,Commodity Manufacturing,0.0,0,5389
Ratnagiri,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,512,0
Ratnagiri,2018,Construction,0.0,2064,0
Ratnagiri,2018,Wholesale And Retail Trade And Hotel Business,0.0,0,172
Ratnagiri,2018,"Transportation, Warehousing And Transportation",0.0,4419,111
Ratnagiri,2018,"Finance, Insurance, Real Estate And Trade Services",0.0,0,841
Ratnagiri,2018,"Collective, Social And Individual Service",11.0,11,0
Ratnagiri,2019,Agriculture,173.0,188,1674
Ratnagiri,2019,Mining,0.0,0,0
Ratnagiri,2019,Commodity Manufacturing,77.0,214,11220
Ratnagiri,2019,"Electricity Generation, Gas, Water And Sewage Services",0.0,2732,554
Ratnagiri,2019,Construction,3609.0,3609,257
Ratnagiri,2019,Wholesale And Retail Trade And Hotel Business,0.0,0,752
Ratnagiri,2019,"Transportation, Warehousing And Transportation",32.0,5464,122
Ratnagiri,2019,"Finance, Insurance, Real Estate And Trade Services",63.0,1497,1417
Ratnagiri,2019,"Collective, Social And Individual Service",16.0,16,7
Ratnagiri,2021,Agriculture,268.0,310,1649
Ratnagiri,2021,Mining,0.0,0,0
Ratnagiri,2021,Commodity Manufacturing,117.0,254,12204
Ratnagiri,2021,"Electricity Generation, Gas, Water And Sewage Services",0.0,2714,599
Ratnagiri,2021,Construction,3614.0,3614,1185
Ratnagiri,2021,Wholesale And Retail Trade And Hotel Business,0.0,0,738
Ratnagiri,2021,"Transportation, Warehousing And Transportation",30.0,4945,156
Ratnagiri,2021,"Finance, Insurance, Real Estate And Trade Services",67.0,1675,1279
Ratnagiri,2021,"Collective, Social And Individual Service",10.0,10,7
Sindhudurg,2012,Agriculture,528.0,26,0
Sindhudurg,2012,Mining,0.0,0,112
Sindhudurg,2012,Commodity Manufacturing,40.0,1,2252
Sindhudurg,2012,"Electricity Generation, Gas, Water And Sewage Services",0.0,417,0
Sindhudurg,2012,Construction,505.0,374,20
Sindhudurg,2012,Wholesale And Retail Trade And Hotel Business,0.0,0,654
Sindhudurg,2012,"Transportation, Warehousing And Transportation",0.0,2346,27
Sindhudurg,2012,"Finance, Insurance, Real Estate And Trade Services",999.0,1136,1060
Sindhudurg,2012,"Collective, Social And Individual Service",3549.0,6799,4099
Sindhudurg,2013,Agriculture,530.0,31,50
Sindhudurg,2013,Mining,2.0,0,92
Sindhudurg,2013,Commodity Manufacturing,36.0,1,2114
Sindhudurg,2013,"Electricity Generation, Gas, Water And Sewage Services",0.0,431,0
Sindhudurg,2013,Construction,464.0,376,13
Sindhudurg,2013,Wholesale And Retail Trade And Hotel Business,0.0,0,775
Sindhudurg,2013,"Transportation, Warehousing And Transportation",0.0,43,27
Sindhudurg,2013,"Finance, Insurance, Real Estate And Trade Services",1017.0,1217,1174
Sindhudurg,2013,"Collective, Social And Individual Service",3691.0,6815,4149
Sindhudurg,2014,Agriculture,597.0,31,148
Sindhudurg,2014,Mining,26.0,8,1375
Sindhudurg,2014,Commodity Manufacturing,0.0,485,742
Sindhudurg,2014,"Electricity Generation, Gas, Water And Sewage Services",344.0,2,13
Sindhudurg,2014,Construction,118.0,332,135
Sindhudurg,2014,Wholesale And Retail Trade And Hotel Business,1005.0,2504,607
Sindhudurg,2014,"Transportation, Warehousing And Transportation",0.0,242,15
Sindhudurg,2014,"Finance, Insurance, Real Estate And Trade Services",34.0,992,1183
Sindhudurg,2014,"Collective, Social And Individual Service",3726.0,6644,4234
Sindhudurg,2015,Agriculture,604.0,31,145
Sindhudurg,2015,Mining,19.0,0,1416
Sindhudurg,2015,Commodity Manufacturing,0.0,494,761
