District Name Changes Log File
==============================
Chapter: Agriculture | File: DSA_ChemicalFertilizer.csv | Replaced 'Mumbai City' with 'Mumbai' in 70 rows.
Chapter: Demography | File: Census_Working.csv | Replaced 'Mumbai City' with 'Mumbai' in 5 rows.
Chapter: Demography | File: Census_Working.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Sheet1.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 21 rows.
Chapter: Demography | File: Sheet1.csv | Replaced 'Mumbai City' with 'Mumbai' in 12 rows.
Chapter: Demography | File: Sheet1.csv | Replaced 'Buldana' with 'Buldhana' in 9 rows.
Chapter: Education | File: Drop_Out_Rate_(By_Gender).csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 150 rows.
Chapter: Education | File: Drop_Out_Rate_(By_Gender).csv | Replaced 'Mumbai City' with 'Mumbai' in 150 rows.
Chapter: Education | File: Drop_Out_Rate_(Schooling_Stage_.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 150 rows.
Chapter: Education | File: Drop_Out_Rate_(Schooling_Stage_.csv | Replaced 'Mumbai City' with 'Mumbai' in 150 rows.
Chapter: Education | File: Education_Levels.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 166 rows.
Chapter: Education | File: Education_Levels.csv | Replaced 'Mumbai City' with 'Mumbai' in 116 rows.
Chapter: Education | File: No._of_Schools.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 33 rows.
Chapter: Education | File: No._of_Schools.csv | Replaced 'Mumbai City' with 'Mumbai' in 33 rows.
Chapter: Education | File: No._of_Schools_(Management).csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 110 rows.
Chapter: Education | File: No._of_Schools_(Management).csv | Replaced 'Mumbai City' with 'Mumbai' in 55 rows.
Chapter: Education | File: No._of_Schools_(Type_of_School).csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 93 rows.
Chapter: Education | File: No._of_Schools_(Type_of_School).csv | Replaced 'Mumbai City' with 'Mumbai' in 37 rows.
Chapter: Education | File: No._of_Teachers_(By_Type_of_Sch.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 66 rows.
Chapter: Education | File: No._of_Teachers_(By_Type_of_Sch.csv | Replaced 'Mumbai City' with 'Mumbai' in 65 rows.
Chapter: Education | File: Student_Enrollment_(Boys_vs_Gir.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 715 rows.
Chapter: Education | File: Student_Enrollment_(Boys_vs_Gir.csv | Replaced 'Mumbai City' with 'Mumbai' in 715 rows.
Chapter: Education | File: Student_Enrollment_(Class_Wise).csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 165 rows.
Chapter: Education | File: Student_Enrollment_(Class_Wise).csv | Replaced 'Mumbai City' with 'Mumbai' in 165 rows.
Chapter: Education | File: Student_Enrollment_(Girls_vs_Bo.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 22 rows.
Chapter: Education | File: Student_Enrollment_(Girls_vs_Bo.csv | Replaced 'Mumbai City' with 'Mumbai' in 22 rows.
Chapter: Education | File: Student_Enrollment_Numbers.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 55 rows.
Chapter: Education | File: Student_Enrollment_Numbers.csv | Replaced 'Mumbai City' with 'Mumbai' in 55 rows.
Chapter: Education | File: Teacher_Category.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 48 rows.
Chapter: Education | File: Teacher_Category.csv | Replaced 'Mumbai City' with 'Mumbai' in 37 rows.
Chapter: Education | File: Teacher_Social_Category.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 288 rows.
Chapter: Education | File: Teacher_Social_Category.csv | Replaced 'Mumbai City' with 'Mumbai' in 222 rows.
Chapter: Environment | File: borewells.xlsx | Replaced 'Chhatrapati Sambhajinagar' with 'Chh. Sambhaji Nagar' in 76 rows.
