Year,District,Month,Crash Type,Number of Crashes
2020,Buldhana,August,Fatal Crashes,20
2020,Buldhana,September,Fatal Crashes,14
2020,Buldhana,October,Fatal Crashes,27
2020,Buldhana,November,Fatal Crashes,36
2020,Buldhana,December,Fatal Crashes,37
2020,Chandrapur,January,Fatal Crashes,27
2020,Chandrapur,February,Fatal Crashes,25
2020,Chandrapur,March,Fatal Crashes,10
2020,Chandrapur,April,Fatal Crashes,4
2020,Chandrapur,May,Fatal Crashes,15
2020,Chandrapur,June,Fatal Crashes,25
2020,Chandrapur,July,Fatal Crashes,10
2020,Chandrapur,August,Fatal Crashes,17
2020,Chandrapur,September,Fatal Crashes,26
2020,Chandrapur,October,Fatal Crashes,18
2020,Chandrapur,November,Fatal Crashes,12
2020,Chandrapur,December,Fatal Crashes,22
2020,Dhule,January,Fatal Crashes,41
2020,Dhule,February,Fatal Crashes,27
2020,Dhule,March,Fatal Crashes,27
2020,Dhule,April,Fatal Crashes,13
2020,Dhule,May,Fatal Crashes,31
2020,Dhule,June,Fatal Crashes,27
2020,Dhule,July,Fatal Crashes,21
2020,Dhule,August,Fatal Crashes,29
2020,Dhule,September,Fatal Crashes,30
2020,Dhule,October,Fatal Crashes,32
2020,Dhule,November,Fatal Crashes,33
2020,Dhule,December,Fatal Crashes,39
2020,Gadchiroli,January,Fatal Crashes,13
2020,Gadchiroli,February,Fatal Crashes,11
2020,Gadchiroli,March,Fatal Crashes,12
2020,Gadchiroli,April,Fatal Crashes,7
2020,Gadchiroli,May,Fatal Crashes,9
2020,Gadchiroli,June,Fatal Crashes,14
2020,Gadchiroli,July,Fatal Crashes,6
2020,Gadchiroli,August,Fatal Crashes,13
2020,Gadchiroli,September,Fatal Crashes,6
2020,Gadchiroli,October,Fatal Crashes,13
2020,Gadchiroli,November,Fatal Crashes,14
2020,Gadchiroli,December,Fatal Crashes,14
2020,Gondia,January,Fatal Crashes,10
2020,Gondia,February,Fatal Crashes,8
2020,Gondia,March,Fatal Crashes,11
2020,Gondia,April,Fatal Crashes,5
2020,Gondia,May,Fatal Crashes,5
2020,Gondia,June,Fatal Crashes,10
2020,Gondia,July,Fatal Crashes,10
2020,Gondia,August,Fatal Crashes,4
2020,Gondia,September,Fatal Crashes,7
2020,Gondia,October,Fatal Crashes,23
2020,Gondia,November,Fatal Crashes,15
2020,Gondia,December,Fatal Crashes,22
2020,Hingoli,January,Fatal Crashes,15
2020,Hingoli,February,Fatal Crashes,13
2020,Hingoli,March,Fatal Crashes,6
2020,Hingoli,April,Fatal Crashes,1
2020,Hingoli,May,Fatal Crashes,7
2020,Hingoli,June,Fatal Crashes,6
2020,Hingoli,July,Fatal Crashes,11
2020,Hingoli,August,Fatal Crashes,11
2020,Hingoli,September,Fatal Crashes,11
2020,Hingoli,October,Fatal Crashes,10
2020,Hingoli,November,Fatal Crashes,18
2020,Hingoli,December,Fatal Crashes,7
2020,Jalgaon,January,Fatal Crashes,38
2020,Jalgaon,February,Fatal Crashes,34
2020,Jalgaon,March,Fatal Crashes,22
2020,Jalgaon,April,Fatal Crashes,17
2020,Jalgaon,May,Fatal Crashes,35
2020,Jalgaon,June,Fatal Crashes,44
2020,Jalgaon,July,Fatal Crashes,39
2020,Jalgaon,August,Fatal Crashes,43
2020,Jalgaon,September,Fatal Crashes,36
2020,Jalgaon,October,Fatal Crashes,31
2020,Jalgaon,November,Fatal Crashes,49
2020,Jalgaon,December,Fatal Crashes,42
2020,Jalna,January,Fatal Crashes,15
2020,Jalna,February,Fatal Crashes,24
2020,Jalna,March,Fatal Crashes,19
2020,Jalna,April,Fatal Crashes,6
2020,Jalna,May,Fatal Crashes,9
2020,Jalna,June,Fatal Crashes,18
2020,Jalna,July,Fatal Crashes,20
2020,Jalna,August,Fatal Crashes,14
2020,Jalna,September,Fatal Crashes,18
2020,Jalna,October,Fatal Crashes,23
2020,Jalna,November,Fatal Crashes,17
2020,Jalna,December,Fatal Crashes,23
2020,Kolhapur,January,Fatal Crashes,42
2020,Kolhapur,February,Fatal Crashes,32
2020,Kolhapur,March,Fatal Crashes,22
2020,Kolhapur,April,Fatal Crashes,6
2020,Kolhapur,May,Fatal Crashes,17
2020,Kolhapur,June,Fatal Crashes,22
2020,Kolhapur,July,Fatal Crashes,21
2020,Kolhapur,August,Fatal Crashes,17
2020,Kolhapur,September,Fatal Crashes,21
2020,Kolhapur,October,Fatal Crashes,26
2020,Kolhapur,November,Fatal Crashes,37
2020,Kolhapur,December,Fatal Crashes,44
2020,Latur,January,Fatal Crashes,23
2020,Latur,February,Fatal Crashes,24
2020,Latur,March,Fatal Crashes,26
2020,Latur,April,Fatal Crashes,10
2020,Latur,May,Fatal Crashes,13
2020,Latur,June,Fatal Crashes,22
2020,Latur,July,Fatal Crashes,14
2020,Latur,August,Fatal Crashes,16
2020,Latur,September,Fatal Crashes,18
2020,Latur,October,Fatal Crashes,23
2020,Latur,November,Fatal Crashes,24
2020,Latur,December,Fatal Crashes,28
2020,Mumbai,January,Fatal Crashes,76
2020,Mumbai,February,Fatal Crashes,60
2020,Mumbai,March,Fatal Crashes,35
2020,Mumbai,April,Fatal Crashes,16
2020,Mumbai,May,Fatal Crashes,16
2020,Mumbai,June,Fatal Crashes,25
2020,Mumbai,July,Fatal Crashes,33
2020,Mumbai,August,Fatal Crashes,42
2020,Mumbai,September,Fatal Crashes,44
2020,Mumbai,October,Fatal Crashes,57
2020,Mumbai,November,Fatal Crashes,72
2020,Mumbai,December,Fatal Crashes,71
2020,Nagpur,January,Fatal Crashes,54
2020,Nagpur,February,Fatal Crashes,58
2020,Nagpur,March,Fatal Crashes,33
