Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2019,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2019,Amravati,Achalpur,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2019,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Amravati,37.0,87.0,0.0,0.0,0.0,0.0
2019,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2019,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
2020,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2020,Amravati,Achalpur,0.0,1.0,0.0,0.0,0.0,0.0
2020,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2020,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Warud,1.0,1.0,0.0,0.0,0.0,0.0
2020,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Amravati,36.0,86.0,0.0,3.0,0.0,0.0
2020,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2020,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2020,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
2021,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2021,Amravati,Achalpur,0.0,1.0,0.0,0.0,0.0,0.0
2021,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2021,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Warud,1.0,1.0,0.0,0.0,0.0,0.0
2021,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Amravati,36.0,88.0,0.0,3.0,0.0,0.0
2021,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2021,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2021,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
2012,Chh. Sambhaji Nagar,Kannad,0.0,1.0,,,,
2012,Chh. Sambhaji Nagar,Soyegaon,0.0,0.0,,,,
2012,Chh. Sambhaji Nagar,Sillod,0.0,0.0,,,,
2012,Chh. Sambhaji Nagar,Phulambri,0.0,1.0,,,,
