Year,District,Time of Day,Fatalities,Grievous injuries
2020,Beed,18:00 to 21:00,104,75
2020,Beed,21:00 to 00:00,23,23
2020,Beed,Unknown,0,0
2020,Bhandara,00:00 to 03:00,3,7
2020,Bhandara,03:00 to 06:00,8,8
2020,Bhandara,06:00 to 09:00,14,9
2020,Bhandara,09:00 to 12:00,19,14
2020,Bhandara,12:00 to 15:00,20,24
2020,Bhandara,15:00 to 18:00,29,28
2020,Bhandara,18:00 to 21:00,39,38
2020,Bhandara,21:00 to 00:00,13,9
2020,Bhandara,Unknown,0,0
2020,Buldhana,00:00 to 03:00,0,0
2020,Buldhana,03:00 to 06:00,0,0
2020,Buldhana,06:00 to 09:00,15,4
2020,Buldhana,09:00 to 12:00,68,31
2020,Buldhana,12:00 to 15:00,71,35
2020,Buldhana,15:00 to 18:00,67,40
2020,Buldhana,18:00 to 21:00,57,32
2020,Buldhana,21:00 to 00:00,21,8
2020,Buldhana,Unknown,0,0
2020,Chandrapur,00:00 to 03:00,7,4
2020,Chandrapur,03:00 to 06:00,10,3
2020,Chandrapur,06:00 to 09:00,23,12
2020,Chandrapur,09:00 to 12:00,35,53
2020,Chandrapur,12:00 to 15:00,41,29
2020,Chandrapur,15:00 to 18:00,37,45
2020,Chandrapur,18:00 to 21:00,60,33
2020,Chandrapur,21:00 to 00:00,43,22
2020,Chandrapur,Unknown,0,0
2020,Dhule,00:00 to 03:00,30,29
2020,Dhule,03:00 to 06:00,7,2
2020,Dhule,06:00 to 09:00,41,63
2020,Dhule,09:00 to 12:00,53,111
2020,Dhule,12:00 to 15:00,67,131
2020,Dhule,15:00 to 18:00,88,104
2020,Dhule,18:00 to 21:00,70,71
2020,Dhule,21:00 to 00:00,29,29
2020,Dhule,Unknown,0,0
2020,Gadchiroli,00:00 to 03:00,0,0
2020,Gadchiroli,03:00 to 06:00,7,4
2020,Gadchiroli,06:00 to 09:00,10,3
2020,Gadchiroli,09:00 to 12:00,19,8
2020,Gadchiroli,12:00 to 15:00,26,5
2020,Gadchiroli,15:00 to 18:00,34,13
2020,Gadchiroli,18:00 to 21:00,31,13
2020,Gadchiroli,21:00 to 00:00,5,3
2020,Gadchiroli,Unknown,0,0
2020,Gondia,00:00 to 03:00,11,6
2020,Gondia,03:00 to 06:00,3,4
2020,Gondia,06:00 to 09:00,17,9
2020,Gondia,09:00 to 12:00,14,11
2020,Gondia,12:00 to 15:00,25,23
2020,Gondia,15:00 to 18:00,21,20
2020,Gondia,18:00 to 21:00,44,29
2020,Gondia,21:00 to 00:00,10,4
2020,Gondia,Unknown,0,0
2020,Jalgaon,00:00 to 03:00,10,6
2020,Jalgaon,03:00 to 06:00,11,15
2020,Jalgaon,06:00 to 09:00,73,40
2020,Jalgaon,09:00 to 12:00,88,71
2020,Jalgaon,12:00 to 15:00,84,67
2020,Jalgaon,15:00 to 18:00,77,85
2020,Jalgaon,18:00 to 21:00,78,64
2020,Jalgaon,21:00 to 00:00,50,41
2020,Jalgaon,Unknown,1,0
2020,Jalna,00:00 to 03:00,25,38
2020,Jalna,03:00 to 06:00,39,91
2020,Jalna,06:00 to 09:00,12,34
2020,Jalna,09:00 to 12:00,9,39
2020,Jalna,12:00 to 15:00,23,29
2020,Jalna,15:00 to 18:00,24,31
2020,Jalna,18:00 to 21:00,38,25
2020,Jalna,21:00 to 00:00,43,29
2020,Jalna,Unknown,0,0
2020,Kolhapur,00:00 to 03:00,18,24
2020,Kolhapur,03:00 to 06:00,9,10
2020,Kolhapur,06:00 to 09:00,26,39
2020,Kolhapur,09:00 to 12:00,46,68
2020,Kolhapur,12:00 to 15:00,55,84
2020,Kolhapur,15:00 to 18:00,47,88
2020,Kolhapur,18:00 to 21:00,68,73
2020,Kolhapur,21:00 to 00:00,51,67
2020,Kolhapur,Unknown,0,0
2020,Latur,00:00 to 03:00,13,4
2020,Latur,03:00 to 06:00,22,7
2020,Latur,06:00 to 09:00,20,14
2020,Latur,09:00 to 12:00,26,33
2020,Latur,12:00 to 15:00,46,51
2020,Latur,15:00 to 18:00,41,50
2020,Latur,18:00 to 21:00,41,49
2020,Latur,21:00 to 00:00,42,28
2020,Latur,Unknown,0,0
2020,Mumbai,00:00 to 03:00,54,163
2020,Mumbai,03:00 to 06:00,52,116
2020,Mumbai,06:00 to 09:00,77,145
2020,Mumbai,09:00 to 12:00,62,261
2020,Mumbai,12:00 to 15:00,90,216
2020,Mumbai,15:00 to 18:00,90,234
2020,Mumbai,18:00 to 21:00,58,261
2020,Mumbai,21:00 to 00:00,79,255
2020,Mumbai,Unknown,0,3
2020,Nagpur,00:00 to 03:00,32,39
2020,Nagpur,03:00 to 06:00,24,28
2020,Nagpur,06:00 to 09:00,83,99
2020,Nagpur,09:00 to 12:00,88,147
2020,Nagpur,12:00 to 15:00,82,125
2020,Nagpur,15:00 to 18:00,110,133
2020,Nagpur,18:00 to 21:00,82,104
2020,Nagpur,21:00 to 00:00,73,114
2020,Nagpur,Unknown,0,0
2020,Nanded,00:00 to 03:00,10,9
2020,Nanded,03:00 to 06:00,10,10
2020,Nanded,06:00 to 09:00,32,39
2020,Nanded,09:00 to 12:00,29,52
2020,Nanded,12:00 to 15:00,36,36
