Year,District,Taluka,Length of roads per 100 sq.km
2021,Chhatrapati Sambhaji Nagar,Kannad,74.42
2021,Chhatrapati Sambhaji Nagar,Soyegaon ,92.29
2021,Chhatrapati Sambhaji Nagar,Sillod,82.99
2021,Chhatrapati Sambhaji Nagar,Phulambri,143.24
2021,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,231.69
2021,Chhatrapati Sambhaji Nagar,Khultabad,102.91
2021,Chhatrapati Sambhaji Nagar,Vaijapur,88.47
2021,Chhatrapati Sambhaji Nagar,Gangapur,89.2
2021,Chhatrapati Sambhaji Nagar,Paithan,115.92
2013,Beed,Ashti,101.53
2013,Beed,Patoda,93.39
2013,Beed,Shirur Kasar,89.39
2013,Beed,Gevrai,96.16
2013,Beed,Majalgaon,167.07
2013,Beed,Wadwani,144.28
2013,Beed,Beed,140.1
2013,Beed,Cage,121.47
2013,Beed,Dharur,120.52
2013,Beed,Parli,148.09
2013,Beed,Ambajogai,142.9
2014,Beed,Ashti,102.51
2014,Beed,Patoda,90.52
2014,Beed,Shirur Kasar,101.27
2014,Beed,Gevrai,93.34
2014,Beed,Majalgaon,150.47
2014,Beed,Wadwani,126.24
2014,Beed,Beed,140.29
2014,Beed,Cage,122.61
2014,Beed,Dharur,125.36
2014,Beed,Parli,140.79
2014,Beed,Ambajogai,140.79
2015,Beed,Ashti,103.2
2015,Beed,Patoda,84.38
2015,Beed,Shirur Kasar,101.48
2015,Beed,Gevrai,94.32
2015,Beed,Majalgaon,150.68
2015,Beed,Wadwani,120.9
2015,Beed,Beed,139.12
2015,Beed,Cage,124.15
2015,Beed,Dharur,130.71
2015,Beed,Parli,140.93
2015,Beed,Ambajogai,140.89
2016,Beed,Ashti,103.2
2016,Beed,Patoda,84.38
2016,Beed,Shirur Kasar,101.48
2016,Beed,Gevrai,88.98
2016,Beed,Majalgaon,144.53
2016,Beed,Wadwani,120.9
2016,Beed,Beed,139.34
2016,Beed,Cage,124.74
2016,Beed,Dharur,129.03
2016,Beed,Parli,170.27
2016,Beed,Ambajogai,140.89
2017,Beed,Ashti,103.92
