District,Year,Items,Units
Gadchiroli,2017,Ghee,
Gadchiroli,2017,Energy Milk,
Gadchiroli,2017,Lassi,
Gadchiroli,2017,Masala Milk,
Gadchiroli,2017,Sustainable cow's milk,
Gadchiroli,2018,Milk Powder,
Gadchiroli,2018,White butter,
Gadchiroli,2018,Ghee,
Gadchiroli,2018,Energy Milk,
Gadchiroli,2018,Lassi,
Gadchiroli,2018,Masala Milk,
Gadchiroli,2018,Sustainable cow's milk,
Gadchiroli,2019,Milk Powder,
Gadchiroli,2019,White butter,
Gadchiroli,2019,Ghee,
Gadchiroli,2019,Energy Milk,
Gadchiroli,2019,Lassi,
Gadchiroli,2019,Masala Milk,
Gadchiroli,2019,Sustainable cow's milk,
Gadchiroli,2020,Milk Powder,
Gadchiroli,2020,White butter,
Gadchiroli,2020,Ghee,
Gadchiroli,2020,Energy Milk,
Gadchiroli,2020,Lassi,
Gadchiroli,2020,Masala Milk,
Gadchiroli,2020,Sustainable cow's milk,
Gadchiroli,2021,Milk Powder,
Gadchiroli,2021,White butter,
Gadchiroli,2021,Ghee,
Gadchiroli,2021,Energy Milk,
Gadchiroli,2021,Lassi,
Gadchiroli,2021,Masala Milk,
Gadchiroli,2021,Sustainable cow's milk,
Gondia,2012,Milk Powder,
Gondia,2012,White butter,
Gondia,2012,Ghee,
Gondia,2012,Energy Milk,
Gondia,2012,Lassi,
Gondia,2012,Masala Milk,
Gondia,2012,Sustainable cow's milk,
Gondia,2013,Milk Powder,
Gondia,2013,White butter,
Gondia,2013,Ghee,
Gondia,2013,Energy Milk,
Gondia,2013,Lassi,
Gondia,2013,Masala Milk,
Gondia,2013,Sustainable cow's milk,
Gondia,2014,Milk Powder,
Gondia,2014,White butter,
Gondia,2014,Ghee,
Gondia,2014,Energy Milk,
Gondia,2014,Lassi,
Gondia,2014,Masala Milk,
Gondia,2014,Sustainable cow's milk,
Gondia,2015,Milk Powder,
Gondia,2015,White butter,
Gondia,2015,Ghee,
Gondia,2015,Energy Milk,
Gondia,2015,Lassi,
Gondia,2015,Masala Milk,
Gondia,2015,Sustainable cow's milk,
Gondia,2016,Milk Powder,
Gondia,2016,White butter,
Gondia,2016,Ghee,
Gondia,2016,Energy Milk,
Gondia,2016,Lassi,
Gondia,2016,Masala Milk,
Gondia,2016,Sustainable cow's milk,
Gondia,2017,Milk Powder,
Gondia,2017,White butter,
Gondia,2017,Ghee,
Gondia,2017,Energy Milk,
Gondia,2017,Lassi,
Gondia,2017,Masala Milk,
Gondia,2017,Sustainable cow's milk,
Gondia,2018,Milk Powder,
Gondia,2018,White butter,
Gondia,2018,Ghee,
Gondia,2018,Energy Milk,
Gondia,2018,Lassi,
Gondia,2018,Masala Milk,
Gondia,2018,Sustainable cow's milk,
Gondia,2019,Milk Powder,
Gondia,2019,White butter,
Gondia,2019,Ghee,
Gondia,2019,Energy Milk,
Gondia,2019,Lassi,
Gondia,2019,Masala Milk,
Gondia,2019,Sustainable cow's milk,
Gondia,2020,Milk Powder,
Gondia,2020,White butter,
Gondia,2020,Ghee,
Gondia,2020,Energy Milk,
Gondia,2020,Lassi,
Gondia,2020,Masala Milk,
Gondia,2020,Sustainable cow's milk,
Gondia,2021,Milk Powder,
Gondia,2021,White butter,
Gondia,2021,Ghee,
Gondia,2021,Energy Milk,
Gondia,2021,Lassi,
Gondia,2021,Masala Milk,
Gondia,2021,Sustainable cow's milk,
Latur,2012,Milk Powder,
Latur,2012,White butter,
Latur,2012,Ghee,1.2
Latur,2012,Energy Milk,
Latur,2012,Lassi,
Latur,2012,Masala Milk,
Latur,2012,Sustainable cow's milk,
Latur,2013,Milk Powder,
Latur,2013,White butter,
Latur,2013,Ghee,1.5
Latur,2013,Energy Milk,
Latur,2013,Lassi,
Latur,2013,Masala Milk,
Latur,2013,Sustainable cow's milk,
Latur,2014,Milk Powder,295.16
Latur,2014,White butter,197.2
Latur,2014,Ghee,0.1
Latur,2014,Energy Milk,
Latur,2014,Lassi,
Latur,2014,Masala Milk,
Latur,2014,Sustainable cow's milk,
Latur,2015,Milk Powder,
Latur,2015,White butter,
Latur,2015,Ghee,
Latur,2015,Energy Milk,
Latur,2015,Lassi,
Latur,2015,Masala Milk,
Latur,2015,Sustainable cow's milk,
Latur,2016,Milk Powder,
Latur,2016,White butter,
Latur,2016,Ghee,
Latur,2016,Energy Milk,
Latur,2016,Lassi,
Latur,2016,Masala Milk,
Latur,2016,Sustainable cow's milk,
Latur,2017,Milk Powder,
Latur,2017,White butter,
Latur,2017,Ghee,
Latur,2017,Energy Milk,
Latur,2017,Lassi,
Latur,2017,Masala Milk,
Latur,2017,Sustainable cow's milk,
Latur,2018,Milk Powder,
Latur,2018,White butter,
Latur,2018,Ghee,
Latur,2018,Energy Milk,
Latur,2018,Lassi,
Latur,2018,Masala Milk,
Latur,2018,Sustainable cow's milk,
Latur,2019,Milk Powder,
Latur,2019,White butter,
Latur,2019,Ghee,
Latur,2019,Energy Milk,
Latur,2019,Lassi,
Latur,2019,Masala Milk,
Latur,2019,Sustainable cow's milk,
Latur,2020,Milk Powder,
Latur,2020,White butter,
Latur,2020,Ghee,
Latur,2020,Energy Milk,
Latur,2020,Lassi,
Latur,2020,Masala Milk,
Latur,2020,Sustainable cow's milk,
Latur,2021,Milk Powder,
Latur,2021,White butter,
Latur,2021,Ghee,
Latur,2021,Energy Milk,
Latur,2021,Lassi,
Latur,2021,Masala Milk,
Latur,2021,Sustainable cow's milk,
Mumbai Suburban,2016,Milk Powder,0.0
Mumbai Suburban,2016,White butter,0.0
Mumbai Suburban,2016,Ghee,150.837
Mumbai Suburban,2016,Energy Milk,2.76506
Mumbai Suburban,2016,Lassi,12.95903
Mumbai Suburban,2016,Masala Milk,0.0
Mumbai Suburban,2016,Sustainable cow's milk,20.39
Mumbai Suburban,2017,Milk Powder,774.87
Mumbai Suburban,2017,White butter,238.38
Mumbai Suburban,2017,Ghee,126.1
Mumbai Suburban,2017,Energy Milk,2.87
Mumbai Suburban,2017,Lassi,15.96
Mumbai Suburban,2017,Masala Milk,0.05
Mumbai Suburban,2017,Sustainable cow's milk,0.0
Mumbai Suburban,2018,Milk Powder,831.83
Mumbai Suburban,2018,White butter,405.31
Mumbai Suburban,2018,Ghee,94.1
Mumbai Suburban,2018,Energy Milk,256000.0
Mumbai Suburban,2018,Lassi,1901000.0
Mumbai Suburban,2018,Masala Milk,0.0
Mumbai Suburban,2018,Sustainable cow's milk,0.0
Mumbai Suburban,2019,Milk Powder,398.33
Mumbai Suburban,2019,White butter,202.66
Mumbai Suburban,2019,Ghee,86.71
Mumbai Suburban,2019,Energy Milk,253000.0
Mumbai Suburban,2019,Lassi,1865000.0
Mumbai Suburban,2019,Masala Milk,0.0
Mumbai Suburban,2019,Sustainable cow's milk,0.0
Mumbai Suburban,2020,Milk Powder,337.72
Mumbai Suburban,2020,White butter,179.66
Mumbai Suburban,2020,Ghee,100.6
Mumbai Suburban,2020,Energy Milk,173000.0
Mumbai Suburban,2020,Lassi,1196000.0
Mumbai Suburban,2020,Masala Milk,0.0
Mumbai Suburban,2020,Sustainable cow's milk,0.0
Mumbai Suburban,2021,Milk Powder,178.1
Mumbai Suburban,2021,White butter,94.8
Mumbai Suburban,2021,Ghee,100.6
Mumbai Suburban,2021,Energy Milk,603000.0
Mumbai Suburban,2021,Lassi,1359000.0
Mumbai Suburban,2021,Masala Milk,0.0
Mumbai Suburban,2021,Sustainable cow's milk,8565000.0
Mumbai City,2013,Milk Powder,0.0
Mumbai City,2013,White butter,0.0
Mumbai City,2013,Ghee,41.53
Mumbai City,2013,Energy Milk,26.92
Mumbai City,2013,Lassi,32.44
Mumbai City,2013,Masala Milk,7.56
Mumbai City,2013,Sustainable cow's milk,0.4
Mumbai City,2014,Milk Powder,0.0
Mumbai City,2014,White butter,0.0
Mumbai City,2014,Ghee,0.0
Mumbai City,2014,Energy Milk,49485.0
Mumbai City,2014,Lassi,933655.0
Mumbai City,2014,Masala Milk,156309.0
Mumbai City,2014,Sustainable cow's milk,0.0
Mumbai City,2015,Milk Powder,0.0
Mumbai City,2015,White butter,0.0
Mumbai City,2015,Ghee,0.0
Mumbai City,2015,Energy Milk,102537.0
Mumbai City,2015,Lassi,159512.0
Mumbai City,2015,Masala Milk,48765.0
Mumbai City,2015,Sustainable cow's milk,0.0
Mumbai City,2016,Milk Powder,0.0
Mumbai City,2016,White butter,0.0
Mumbai City,2016,Ghee,0.0
Mumbai City,2016,Energy Milk,0.0
Mumbai City,2016,Lassi,41270.0
Mumbai City,2016,Masala Milk,20025.0
