Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2020,Nanded,Umari,3.0,3,8.0
2020,Nanded,Dharmabad,7.0,6,11.0
2020,Nanded,Biloli,9.0,5,14.0
2020,Nanded,Naygaon,9.0,4,16.0
2020,Nanded,Loha,8.0,6,17.0
2020,Nanded,Kandhar,4.0,4,18.0
2020,Nanded,Mukhed,12.0,5,21.0
2020,Nanded,Deglur,7.0,5,23.0
2021,Nanded,Mahur,2.0,3,5.0
2021,Nanded,Kinvat,9.0,5,16.0
2021,Nanded,Himalay Nagar,3.0,3,5.0
2021,Nanded,Hadgaon,7.0,5,13.0
2021,Nanded,Andhrapur,5.0,5,10.0
2021,Nanded,Nanded,7.0,30,82.0
2021,Nanded,Mudkhed,7.0,4,13.0
2021,Nanded,Bhokar,3.0,3,11.0
2021,Nanded,Umari,3.0,3,8.0
2021,Nanded,Dharmabad,8.0,6,12.0
2021,Nanded,Biloli,9.0,5,14.0
2021,Nanded,Naygaon,9.0,4,16.0
2021,Nanded,Loha,8.0,6,17.0
2021,Nanded,Kandhar,4.0,4,18.0
2021,Nanded,Mukhed,12.0,5,21.0
2021,Nanded,Deglur,7.0,5,23.0
2006,Nandurbar,Akkalkuva,5.0,3,6.0
2006,Nandurbar,Akrani,3.0,2,3.0
2006,Nandurbar,Taloda,4.0,2,5.0
2006,Nandurbar,Shahada,10.0,5,12.0
2006,Nandurbar,Nandurbar,6.0,7,12.0
2006,Nandurbar,Navapur,6.0,4,7.0
2008,Nandurbar,Akkalkuva,5.0,3,6.0
2008,Nandurbar,Akrani,3.0,2,3.0
2008,Nandurbar,Taloda,4.0,3,7.0
2008,Nandurbar,Shahada,12.0,5,12.0
2008,Nandurbar,Nandurbar,6.0,8,15.0
2008,Nandurbar,Navapur,6.0,4,7.0
2009,Nandurbar,Akkalkuva,6.0,3,6.0
2009,Nandurbar,Akrani,3.0,2,4.0
2009,Nandurbar,Taloda,4.0,2,5.0
2009,Nandurbar,Shahada,7.0,11,14.0
2009,Nandurbar,Nandurbar,11.0,10,15.0
2009,Nandurbar,Navapur,6.0,4,7.0
2010,Nandurbar,Akkalkuva,5.0,3,6.0
2010,Nandurbar,Akrani,3.0,2,3.0
2010,Nandurbar,Taloda,4.0,3,6.0
2010,Nandurbar,Shahada,9.0,6,16.0
2010,Nandurbar,Nandurbar,7.0,7,16.0
2010,Nandurbar,Navapur,6.0,4,7.0
2011,Nandurbar,Akkalkuva,5.0,3,6.0
2011,Nandurbar,Akrani,3.0,2,3.0
2011,Nandurbar,Taloda,4.0,3,6.0
2011,Nandurbar,Shahada,13.0,6,15.0
2011,Nandurbar,Nandurbar,8.0,7,15.0
2011,Nandurbar,Navapur,7.0,4,7.0
2012,Nandurbar,Akkalkuva,5.0,3,6.0
2012,Nandurbar,Akrani,3.0,2,3.0
2012,Nandurbar,Taloda,4.0,3,6.0
2012,Nandurbar,Shahada,13.0,6,15.0
2012,Nandurbar,Nandurbar,8.0,7,15.0
2012,Nandurbar,Navapur,7.0,4,7.0
2013,Nandurbar,Akkalkuva,5.0,3,6.0
2013,Nandurbar,Akrani,3.0,2,3.0
2013,Nandurbar,Taloda,4.0,3,6.0
2013,Nandurbar,Shahada,15.0,8,17.0
2013,Nandurbar,Nandurbar,11.0,12,18.0
2013,Nandurbar,Navapur,7.0,4,10.0
2014,Nandurbar,Akkalkuva,5.0,3,6.0
2014,Nandurbar,Akrani,3.0,2,3.0
2014,Nandurbar,Taloda,4.0,3,6.0
2014,Nandurbar,Shahada,15.0,8,17.0
2014,Nandurbar,Nandurbar,11.0,12,20.0
2014,Nandurbar,Navapur,7.0,4,9.0
2015,Nandurbar,Akkalkuva,5.0,3,6.0
2015,Nandurbar,Akrani,3.0,2,3.0
2015,Nandurbar,Taloda,5.0,3,6.0
2015,Nandurbar,Shahada,15.0,8,18.0
2015,Nandurbar,Nandurbar,14.0,12,22.0
2015,Nandurbar,Navapur,9.0,5,9.0
2016,Nandurbar,Akkalkuva,5.0,3,6.0
2016,Nandurbar,Akrani,3.0,2,3.0
2016,Nandurbar,Taloda,5.0,3,6.0
2016,Nandurbar,Shahada,15.0,8,18.0
