Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2016,Jalgaon,6401,952,388,46,7788,103,7891,7497,501,2024,10022,10125,2826,171,1295,20,411,3975,5293,790,2278,17059,34972,5853,595,40230,4456,90279
2017,Jalgaon,5651,1155,377,34,7218,6,7224,8147,530,2053,10730,10736,3027,198,1389,22,353,4090,5618,862,2451,18008,35963,6163,546,41580,4492,92564
2018,Jalgaon,4789,1352,399,37,6578,244,6821,8526,580,2050,11156,11400,3245,189,1471,22,343,4237,6106,880,2630,19122,37100,6617,567,43150,4528,95302
2019,Jalgaon,4913,1387,395,24,6719,605,7325,8214,596,2029,10839,11444,3355,191,1539,22,378,4296,6474,1015,2841,20112,38275,6816,622,44469,4563,97450
2011,Jalna,3459,350,499,19,4327,214,4541,1851,161,688,2700,2915,878,46,320,7,115,1038,1263,249,523,4439,11681,1911,308,13284,1969,67478
2012,Jalna,2464,374,509,5,3352,115,3467,2002,168,662,2832,2947,975,48,355,7,122,1129,1370,254,578,4838,11137,1896,349,12684,1985,63904
2013,Jalna,5593,403,515,1,6512,80,6592,2239,128,670,3037,3116,943,48,359,7,121,1269,1499,256,632,5136,14764,2496,434,16826,2001,84087
2014,Jalna,1373,775,542,18,2709,86,2795,2354,170,726,3249,3336,967,54,400,8,139,1365,1678,264,711,5587,11632,1972,315,13288,2017,65880
2015,Jalna,1632,414,555,23,2624,239,2863,2614,179,731,3524,3762,953,57,450,8,168,1429,1827,277,776,5944,12330,2083,259,14154,2033,69623
2016,Jalna,2956,459,713,23,4151,225,4376,2842,190,767,3799,4024,1071,65,491,8,156,1507,2006,299,864,6466,14641,2452,249,16844,2048,82262
2017,Jalna,1653,974,706,25,3358,574,3933,2976,194,750,3920,4494,1106,72,507,8,129,1494,2052,315,895,6579,14431,2479,220,16690,2061,80978
2018,Jalna,1609,443,809,7,2868,1681,4549,2841,193,683,3717,5398,1081,63,490,7,114,1412,2034,293,876,6371,14636,2615,224,17027,2074,82080
2019,Jalna,2999,460,812,16,4287,8,4295,3270,237,808,4315,4323,1336,76,613,9,150,1710,2578,404,1131,8007,16617,2929,267,19279,2088,92338
2011,Kolhapur,4278,2469,545,16,7308,268,7576,7248,632,2693,10573,10841,3437,180,1255,28,452,4065,4945,976,2047,17384,35533,5814,937,40409,3898,103665
2012,Kolhapur,4249,2571,546,20,7387,30,7417,7803,656,2580,11039,11068,3801,187,1385,29,474,4400,5342,992,2254,18862,37318,6350,1168,42499,3936,107979
2013,Kolhapur,4795,2023,546,1,7365,39,7404,8662,495,2591,11748,11786,3649,187,1389,29,469,4910,5799,992,2445,19869,39021,6601,1149,44473,3973,111924
2014,Kolhapur,4587,1901,560,18,7066,96,7162,9091,657,2803,12551,12646,3735,210,1546,30,538,5272,6481,1019,2748,21580,41292,7008,1121,47179,4011,117621
2015,Kolhapur,4557,1907,564,17,7044,125,7170,10230,699,2863,13792,13918,3730,222,1762,30,657,5591,7151,1084,3036,23264,44226,7489,932,50782,4049,125435
2016,Kolhapur,4551,2548,661,17,7777,123,7900,11094,742,2995,14830,14954,4182,254,1917,30,608,5882,7832,1168,3371,25244,47974,8057,819,55212,4083,135213
2017,Kolhapur,4205,3033,645,19,7902,79,7981,12054,784,3038,15875,15954,4478,293,2054,32,522,6051,8311,1275,3626,26642,50498,8668,768,58398,4116,141876
2018,Kolhapur,3883,3247,713,19,7863,71,7934,12716,865,3058,16639,16710,4839,281,2194,33,512,6319,9106,1313,3922,28520,53093,9484,813,61764,4149,148870
2019,Kolhapur,3860,3364,704,33,7961,583,8544,12242,889,3024,16154,16737,5001,285,2294,33,563,6403,9649,1512,4234,29974,54672,9764,892,63545,4181,151968
2011,Latur,2634,571,855,36,4096,62,4158,2770,241,1029,4040,4102,1313,69,479,11,173,1553,1890,373,782,6642,14840,2428,391,16877,2467,68407
2012,Latur,3103,605,855,10,4574,110,4683,2943,247,973,4164,4273,1434,71,522,11,179,1660,2015,374,850,7115,15962,2716,500,18178,2489,73025
2013,Latur,4061,490,879,10,5440,26,5465,3296,188,986,4470,4496,1389,71,529,11,179,1868,2207,378,930,7561,17497,2958,515,19940,2511,79400
2014,Latur,1547,302,933,15,2797,28,2825,3466,250,1069,4785,4813,1424,80,589,12,205,2010,2471,388,1048,8228,15838,2686,429,18094,2533,71425
2015,Latur,1013,375,953,8,2349,17,2366,3919,268,1097,5284,5301,1429,85,675,12,252,2142,2740,415,1163,8913,16563,2795,348,19010,2555,74401
2016,Latur,2541,703,1248,21,4512,76,4588,4229,283,1142,5654,5730,1594,97,731,11,232,2242,2986,445,1285,9623,19865,3325,338,22851,2575,88736
2017,Latur,2354,839,1293,44,4529,54,4583,4587,298,1156,6041,6094,1704,111,782,12,199,2302,3162,485,1380,10138,20762,3558,315,24004,2594,92534
