District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Dhule,2019,307.36,10.52,2115.46,266.79,56.24,3782.18,182.08,18.83,692.87,662.33,,,628.31,238.43,40.31,2.1,2.8,8.21,,45.04,2521.31,283.47,1395.51,842.3299999999999
Dhule,2020,467.36,37.82,1682.62,317.14,97.8,2602.74,269.71,18.86,921.85,12.22,,3.08,751.86,262.03,46.45,9.66,,0.19,,256.67,2552.58,521.78,980.5200000000001,1050.28
Dhule,2021,88.91,63.5,1211.11,164.26,68.03,1595.81,278.28,13.98,679.02,266.76,,,719.52,248.89,34.02,0.78,,0.01,,81.8,2323.06,330.69,979.8,1012.57
Gadchiroli,2012,,,,,,,,,,,,,,,,,,,,,,,,
Gadchiroli,2013,,,,,,,,,,,,,,,,,,,,,,,,
Gadchiroli,2014,,,,,,,,,,,,,,,,,,,,,,,,
Gadchiroli,2015,0.81,29.34,632.75,14.98,135.73,813.61,44.95,4.9,15.67,8.49,,2.16,22.89,19.47,47.6,2.11,2.24,0.46,0.15,40.06,211.15,61.69,71.91000000000001,77.55000000000001
Gadchiroli,2016,22.49,22.69,2381.68,123.38,188.46,2738.7,93.69,19.83,445.07,6.02,0.34,4.67,55.93,81.33,44.65,0.37,3.06,1.02,,58.48,814.46,144.82,495.74,173.9
Gadchiroli,2017,25.99,,3145.0,131.27,297.93,3600.19,82.28,707.16,496.22,186.1,3.04,2.15,1965.91,12.6,,,0.6,,,144.97,3601.03,162.76,682.32,2755.95
Gadchiroli,2018,121.31,,4990.12,365.83,242.63,5719.89,142.32,140.12,988.05,375.9,6.62,775.88,1470.44,75.94,,,,,,66.42,4041.69,924.86,1363.95,1752.88
Gadchiroli,2019,65.6,,5137.98,241.09,151.92,5596.59,445.2,70.36,1796.28,137.29,,2.25,122.54,161.31,49.3,30.44,,3.78,60.0,25.13,2903.88,188.69,2042.87,672.3199999999999
Gadchiroli,2020,454.43,11.06,5662.34,600.41,118.31,6846.55,482.44,65.37,2994.27,238.13,0.86,6.81,463.08,52.62,105.01,3.7,17.56,4.4,,107.61,4541.86,167.9,3337.41,1036.55
Gadchiroli,2021,129.0,51.47,4938.64,415.85,273.5,5808.46,617.49,99.0,5656.64,75.36,,8.81,910.87,307.3,81.06,162.12,19.26,3.22,,34.09,7975.22,350.2,5813.06,1811.96
Gondia,2012,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2013,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2014,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2015,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2016,,,,,,,,,,,,,,,,,,,,,,,,
Gondia,2017,2.17,,1373.01,78.38,146.51,1600.08,48.11,14.39,138.96,340.69,1.47,4.43,210.52,10.59,12.16,0.24,0.93,29.66,2.89,15.38,830.42,31.87,494.7,303.85
Gondia,2018,227.21,482.78,1566.78,154.38,150.27,2581.42,197.53,18.73,984.2,26.98,,5.36,468.26,3.28,80.2,15.01,2.83,2.07,,33.95,1838.4,42.59,1091.38,704.43
Gondia,2019,19.35,40.3,2193.0,60.59,103.66,2416.9,185.76,5.85,1081.1,57.52,,96.47,50.77,3.4,5.56,,0.55,31.56,,33.38,1551.9,133.25,1144.18,274.49
Gondia,2020,75.0,7.32,2557.07,181.4,134.65,2955.44,161.9,4.55,1330.33,74.7,,96.66,395.09,0.41,17.8,8.53,,6.05,,38.74,2134.76,135.81,1422.83,576.12
Gondia,2021,53.02,19.39,1331.71,71.91,147.58,1623.61,193.19,8.56,1180.62,32.3,5.54,411.06,66.57,143.92,16.87,0.26,,28.05,,27.32,2114.26,587.84,1229.79,296.63
Hingoli,2012,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2013,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2014,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2015,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2016,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2017,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2018,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2019,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,2020,,,1743.73,3.27,88.29,1835.29,136.05,1.07,1394.64,20.45,,3.55,2.05,8.35,3.25,1.01,,1.5,,11.75,1583.67,23.65,1418.34,141.68
Hingoli,2021,4.2,,1448.86,63.78,72.81,1589.65,163.61,10.13,1304.89,1.65,,3.7,19.35,,7.25,2.55,,2.75,,12.71,1528.59,16.41,1313.79,198.39
Jalgaon,2009,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2010,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2011,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2012,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2013,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2014,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2015,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,2016,3534.05,3124.19,23624.1,30282.34,4410.87,34693.21,28.75,,16.05,,,,,131.19,16.95,0.4,,,,8.09,201.43,139.28,33.0,29.15
Jalgaon,2017,,3.32,118.67,2.27,92.88,217.14,139.18,43.91,1382.88,1.2,,3.3,19.5,59.73,37.33,0.52,,8.0,,47.82,1743.36,110.85,1421.41,211.11
Jalgaon,2018,27.05,49.13,3322.48,40.51,247.89,3687.06,74.36,51.78,2955.98,1129.01,,4.68,31.1,98.39,65.45,0.6,89.0,9.0,,62.73,4572.08,165.8,4150.44,255.84
Jalgaon,2019,,5.89,3676.49,52.3,243.0,3977.68,337.34,19.03,2816.26,192.0,,19.55,40.0,120.46,49.15,51.01,19.72,10.7,,197.05,3872.27,337.06,3057.41,477.8
Jalgaon,2020,,1.0,2171.89,42.38,865.0,3080.27,,,,,,,,,,,,,,,,,,
Jalna,2013,,,,,,,,,,,,,,,,,,,,,,,,
Jalna,2014,,,,,,,,,,,,,,,,,,,,,,,,
Jalna,2015,,,,,,,225.58,60.9,222.91,98.1,,0.3,1412.88,267.16,10.29,55.3,,43.74,,139.38,2537.14,406.84,331.3,1798.4
Jalna,2016,16.37,7.36,2666.45,277.76,308.53,3276.47,94.17,44.63,496.67,68.36,,1.0,349.69,351.97,145.75,3.62,0.5,3.37,0.75,62.28,1622.76,415.25,711.53,495.98
Jalna,2017,40.98,17.44,1351.82,167.91,114.96,1693.11,170.3,11.29,364.64,108.55,,11.42,874.32,101.05,66.79,,,2.42,,122.21,1832.99,234.68,539.98,1058.33
Jalna,2018,,,2450.54,374.74,136.8,2962.08,313.59,23.25,949.51,188.04,,122.17,126.88,161.67,46.56,67.24,966.42,4.23,,137.66,3107.22,421.5,1184.11,1501.61
Jalna,2019,40.78,5.16,3526.68,131.97,141.09,3845.68,253.65,5.03,673.86,161.82,,383.55,43.47,164.48,20.86,2.0,,3.42,,103.72,1815.86,651.75,856.5400000000001,307.5700000000001
Jalna,2020,,,2794.11,20.84,78.82,2893.77,231.63,22.33,407.79,91.06,,1.05,974.83,215.1,26.95,,,47.41,1.49,191.0,2210.64,407.15,527.2900000000001,1276.2
Jalna,2021,1.5,6.21,3700.26,90.17,116.01,3914.15,,,,,,,,,,,,,,,,,,
Kolhapur,2012,,,,,,,,,,,,,,,,,,,,,,,,
Kolhapur,2013,,,,,,,,,,,,,,,,,,,,,,,,
Kolhapur,2014,,,,,,,,,,,,,,,,,,,,,,,,
Kolhapur,2015,,,,,,,,,,,,,,,,,,,,,,,,
Kolhapur,2016,,,,,,,,,,,,,,,,,,,,,,,,
Kolhapur,2017,,,,,,,22.0,9.0,,,,,4.0,,19.0,,,3.0,,1.0,56.0,1.0,19.0,38.0
Kolhapur,2018,,1.0,3.0,8.0,44.0,55.0,104.0,5.0,35.0,3.0,3.0,12.0,76.0,27.0,8.0,,19.0,,,62.0,353.0,104.0,46.0,204.0
Kolhapur,2019,31.0,22.0,422.0,54.0,131.0,660.0,192.0,13.0,156.0,4.0,3.0,7.0,269.0,115.0,67.0,6.0,51.0,,,51.0,934.0,176.0,227.0,531.0
Kolhapur,2020,40.0,43.0,615.0,205.0,270.0,1173.0,252.0,37.0,685.0,5.0,,13.0,281.0,311.0,101.0,3.0,210.0,,2.0,86.0,1986.0,410.0,793.0,783.0
Kolhapur,2021,138.0,68.0,1316.0,96.0,355.0,1972.0,,,,,,,,,,,,,,,,,,
Latur,2012,,,,,,,,,,,,,,,,,,,,,,,,
Latur,2013,,,,,,,,,,,,,,,,,,,,,,,,
Latur,2014,,,,,,,59.2,9.36,49.24,11.01,,1.5,23.16,16.63,12.54,2.24,,6.67,0.07,42.62,234.24,60.75,72.85999999999999,100.63
Latur,2015,18.14,1.67,622.13,45.33,73.65,760.92,69.16,5.33,1332.8,114.9,1.1,,174.25,176.07,16.19,8.27,,0.1,,44.41,1942.58,221.58,1463.89,257.11
Latur,2016,,,2629.68,161.89,123.77,2915.34,81.13,17.76,523.96,114.0,,,211.61,224.31,224.36,,1.56,13.4,,222.53,1634.62,446.84,862.32,325.46
Latur,2017,14.53,,2214.74,351.33,97.94,2678.54,286.89,52.0,802.96,236.14,,24.01,298.4,77.14,96.29,30.9,8.2,4.49,,284.95,2202.37,386.1,1135.39,680.8799999999999
Latur,2018,,14.82,2911.44,132.49,135.11,3193.86,353.1,161.54,1740.68,106.73,,15.25,642.97,106.95,105.53,70.03,13.85,0.25,,358.66,3675.54,480.86,1952.94,1241.74
Latur,2019,101.2,6.32,3497.28,464.8,106.8,4176.4,418.07,23.8,1766.43,386.65,,56.2,727.75,317.99,236.22,66.07,5.18,67.05,,220.54,4291.95,594.73,2389.3,1307.92
Latur,2020,9.32,8.16,4172.29,388.65,157.75,4736.17,544.92,135.33,1251.96,331.63,,0.38,1288.52,93.5,138.36,,,0.39,,68.26,3853.25,162.14,1721.95,1969.16
Latur,2021,51.0,1.16,2504.41,380.1,135.92,3072.59,,,,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2013,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2014,,,,,,,,,,,,,,,,,,,,,-14.0,,,
Mumbai (City+Suburban),2015,,,,,,,,,,,,,,,,,,,,,-14.0,,,
Mumbai (City+Suburban),2016,,,,,,,,,,,,,,,,,,,,,-14.0,,,
Mumbai (City+Suburban),2017,,,,,,,,,,,,,,,,,,,,,-14.0,,,
Mumbai (City+Suburban),2018,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2019,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2020,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2021,,,,,,,,,,,,,,,,,,,,,,,,
Nagpur,2012,,,,,,,19.0,9.0,19.0,6.0,,,12.0,2.0,29.0,2.0,,,,66.0,164.0,68.0,54.0,42.0
Nagpur,2013,,,,,,,33.0,7.0,14.0,6.0,,,228.0,2.0,9.0,2.0,,,,30.0,331.0,32.0,29.0,270.0
Nagpur,2014,,,279.0,38.0,49.0,366.0,52.0,3.0,336.0,,,,28.0,41.0,10.0,,7.0,,,10.0,487.0,51.0,346.0,90.0
Nagpur,2015,,,846.0,75.0,54.0,975.0,75.0,13.0,365.0,15.0,50.0,35.0,35.0,51.0,13.0,,10.0,5.0,,12.0,679.0,148.0,393.0,138.0
Nagpur,2016,2.0,1.0,1037.0,65.0,154.0,1259.0,202.0,92.0,1648.0,99.0,,6.0,2632.0,344.0,52.0,20.0,33.0,12.0,,435.0,5574.0,785.0,1799.0,2991.0
Nagpur,2017,35.0,25.0,1135.0,85.0,165.0,1445.0,338.0,232.0,4009.0,393.0,,306.0,1383.0,365.0,107.0,8.0,83.0,81.0,,836.0,8141.0,1507.0,4509.0,2125.0
Nagpur,2018,248.0,33.0,3786.0,1512.0,214.0,5794.0,529.0,150.0,1657.0,297.0,,199.0,586.0,104.0,191.0,94.0,145.0,271.0,,558.0,4781.0,861.0,2145.0,1775.0
Nagpur,2019,130.0,3.0,5210.0,1849.0,486.0,7678.0,580.0,73.0,1526.0,224.0,,238.0,1634.0,200.0,279.0,5.0,25.0,89.0,,800.0,5673.0,1238.0,2029.0,2406.0
Nagpur,2020,189.0,1.0,3025.0,211.0,297.0,3723.0,,,,,,,,,,,,,,,,,,
Nagpur,2021,127.0,29.0,4584.0,699.0,402.0,5841.0,,,,,,,,,,,,,,,,,,
Nanded,2014,,,,,,,81.28,,,417.6,,,4812.09,,410.5,,1090.92,,,184.38,6996.76,184.38,828.1,5984.29
Nanded,2015,,,,,,,149.91,147.15,9.07,,,,154.75,,30.99,,,,,2205.04,2696.91,2205.04,40.06,451.81
Nanded,2016,3.15,,15.91,1843.56,111.85,1974.47,157.75,142.22,11.49,5.42,,,10.34,,38.22,,,14.56,,1044.52,1424.52,1044.52,55.13,324.87
Nanded,2017,10.15,,2304.38,82.43,122.75,2519.71,1.8,,1044.7,106.71,,48.0,138.1,,,,505.0,278.72,,170.89,2293.92,218.89,1151.41,923.62
Nanded,2018,14.22,8.44,2198.0,193.31,142.52,2556.49,15.33,4.83,4657.79,3216.5,2560.99,1093.7,2817.48,56.63,447.7,652.49,719.92,3345.07,,1006.33,20594.76,4717.65,8321.99,7555.120000000001
Nanded,2019,13.05,1.6,3843.36,73.0,88.62,4019.63,1.41,3.17,1247.55,429.99,183.38,48.12,1248.28,336.51,,22.3,45.0,983.29,,1720.36,6269.36,2288.37,1677.54,2303.45
Nanded,2020,367.57,115.52,6826.16,2293.09,238.3,9840.64,,,,,,,,,,,,,,,,,,
Nanded,2021,3.0,18.82,5012.55,2802.51,252.46,8089.34,,,,,,,,,,,,,,,,,,
Nandurbar,2006,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2008,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2009,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2010,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2011,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2012,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2013,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2014,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2015,,,,,,,,,,,,,,,,,,,,,,,,
Nandurbar,2016,,,,,,,23.89,5.14,592.04,,,,1.89,0.91,3.62,,,,,6.76,634.25,7.67,595.66,30.92
Nandurbar,2017,,,,,,,64.42,34.27,642.97,,,0.17,,53.57,11.88,,,,,11.24,818.52,64.98,654.85,98.69
Nandurbar,2018,,11.34,1154.0,9.0,13.0,1187.34,92.15,28.63,879.5,,,0.29,,62.17,2.08,,,,,14.24,1079.06,76.7,881.58,120.78
Nandurbar,2019,,3.1,890.02,16.19,15.87,925.18,3589.54,220.95,943.18,,42.86,13.46,646.24,151.18,129.21,23.96,315.7,38.6,,349.68,6464.56,557.1800000000001,1072.39,4834.99
