Year,District,Select Class,Social Category,Boys,Girls
2012,Chhatrapati Sambhaji Nagar,Class 8,ST,1550,1113
2012,Chhatrapati Sambhaji Nagar,Class 9,Overall,34106,26920
2012,Chhatrapati Sambhaji Nagar,Class 9,General,16899,14092
2012,Chhatrapati Sambhaji Nagar,Class 9,OBC,10334,7561
2012,Chhatrapati Sambhaji Nagar,Class 9,SC,5518,4405
2012,Chhatrapati Sambhaji Nagar,Class 9,ST,1355,862
2012,Chhatrapati Sambhaji Nagar,Class 10,Overall,30887,23947
2012,Chhatrapati Sambhaji Nagar,Class 10,General,15374,12509
2012,Chhatrapati Sambhaji Nagar,Class 10,OBC,9607,6912
2012,Chhatrapati Sambhaji Nagar,Class 10,SC,4837,3856
2012,Chhatrapati Sambhaji Nagar,Class 10,ST,1069,670
2012,Chhatrapati Sambhaji Nagar,Class 11,Overall,20555,15956
2012,Chhatrapati Sambhaji Nagar,Class 11,General,10708,8620
2012,Chhatrapati Sambhaji Nagar,Class 11,OBC,6243,4526
2012,Chhatrapati Sambhaji Nagar,Class 11,SC,2916,2397
2012,Chhatrapati Sambhaji Nagar,Class 11,ST,688,413
2012,Chhatrapati Sambhaji Nagar,Class 12,Overall,19828,13040
2012,Chhatrapati Sambhaji Nagar,Class 12,General,10156,7322
2012,Chhatrapati Sambhaji Nagar,Class 12,OBC,5974,3644
2012,Chhatrapati Sambhaji Nagar,Class 12,SC,3050,1743
2012,Chhatrapati Sambhaji Nagar,Class 12,ST,648,331
2012,Dharashiv,Pre-Primary,Overall,28345,24684
2012,Dharashiv,Pre-Primary,General,15809,13440
2012,Dharashiv,Pre-Primary,OBC,7252,6464
2012,Dharashiv,Pre-Primary,SC,4251,3852
2012,Dharashiv,Pre-Primary,ST,1033,928
2012,Dharashiv,Class 1,Overall,16290,14036
2012,Dharashiv,Class 1,General,8422,6964
2012,Dharashiv,Class 1,OBC,4703,4128
2012,Dharashiv,Class 1,SC,2565,2452
2012,Dharashiv,Class 1,ST,600,492
2012,Dharashiv,Class 2,Overall,15499,13265
2012,Dharashiv,Class 2,General,7866,6640
2012,Dharashiv,Class 2,OBC,4471,3835
2012,Dharashiv,Class 2,SC,2542,2301
2012,Dharashiv,Class 2,ST,620,489
2012,Dharashiv,Class 3,Overall,15435,13906
2012,Dharashiv,Class 3,General,8081,7002
2012,Dharashiv,Class 3,OBC,4320,4028
2012,Dharashiv,Class 3,SC,2500,2383
2012,Dharashiv,Class 3,ST,534,493
2012,Dharashiv,Class 4,Overall,15835,14318
2012,Dharashiv,Class 4,General,8168,7119
2012,Dharashiv,Class 4,OBC,4417,4062
2012,Dharashiv,Class 4,SC,2696,2567
2012,Dharashiv,Class 4,ST,554,570
2012,Dharashiv,Class 5,Overall,15845,14065
2012,Dharashiv,Class 5,General,8291,7298
2012,Dharashiv,Class 5,OBC,4287,3864
2012,Dharashiv,Class 5,SC,2720,2511
2012,Dharashiv,Class 5,ST,547,392
2012,Dharashiv,Class 6,Overall,15735,13652
2012,Dharashiv,Class 6,General,8350,7156
2012,Dharashiv,Class 6,OBC,4078,3664
2012,Dharashiv,Class 6,SC,2861,2423
2012,Dharashiv,Class 6,ST,446,409
2012,Dharashiv,Class 7,Overall,15362,13887
2012,Dharashiv,Class 7,General,8197,7395
2012,Dharashiv,Class 7,OBC,4024,3683
2012,Dharashiv,Class 7,SC,2640,2436
2012,Dharashiv,Class 7,ST,501,373
2012,Dharashiv,Class 8,Overall,13954,12427
2012,Dharashiv,Class 8,General,7503,6782
2012,Dharashiv,Class 8,OBC,3575,3241
2012,Dharashiv,Class 8,SC,2435,2151
