Year,District,Social Category,Gender,Primary (I-V),Upper Primary (VI-VIII),Secondary (IX-X)
2013,Raigad,ST,Girls,6.05,13.12,40.03
2013,Ratnagiri,Overall,Overall,0.58,1.37,18.41
2013,Ratnagiri,Overall,Boys,0.75,0.41,18.4
2013,Ratnagiri,Overall,Girls,0.39,2.4,18.43
2013,Ratnagiri,General,Overall,1.13,0.57,15.01
2013,Ratnagiri,General,Boys,1.98,0.0,16.68
2013,Ratnagiri,General,Girls,0.23,2.43,13.18
2013,Ratnagiri,OBC,Overall,0.21,1.27,19.54
2013,Ratnagiri,OBC,Boys,0.02,0.55,18.62
2013,Ratnagiri,OBC,Girls,0.4,2.03,20.59
2013,Ratnagiri,SC,Overall,0.0,0.77,18.81
2013,Ratnagiri,SC,Boys,0.0,0.42,19.79
2013,Ratnagiri,SC,Girls,0.0,1.16,17.75
2013,Ratnagiri,ST,Overall,9.64,25.78,41.64
2013,Ratnagiri,ST,Boys,10.05,24.93,40.94
2013,Ratnagiri,ST,Girls,9.22,26.78,42.54
2013,Sangli,Overall,Overall,0.9,1.35,14.24
2013,Sangli,Overall,Boys,0.96,0.92,15.32
2013,Sangli,Overall,Girls,0.82,1.88,12.89
2013,Sangli,General,Overall,1.37,1.36,12.89
2013,Sangli,General,Boys,1.32,0.97,14.81
2013,Sangli,General,Girls,1.42,1.84,10.53
2013,Sangli,OBC,Overall,0.03,1.46,14.17
2013,Sangli,OBC,Boys,0.15,1.18,14.34
2013,Sangli,OBC,Girls,0.0,1.8,13.94
2013,Sangli,SC,Overall,0.72,0.52,19.96
2013,Sangli,SC,Boys,0.92,0.0,20.04
2013,Sangli,SC,Girls,0.48,1.8,19.87
2013,Sangli,ST,Overall,17.34,16.78,2.66
2013,Sangli,ST,Boys,17.67,18.27,6.55
2013,Sangli,ST,Girls,16.93,14.79,0.0
2013,Satara,Overall,Overall,0.83,0.4,13.08
2013,Satara,Overall,Boys,0.69,0.0,13.52
2013,Satara,Overall,Girls,1.0,1.45,12.54
2013,Satara,General,Overall,1.45,0.94,12.09
2013,Satara,General,Boys,1.44,0.23,12.43
2013,Satara,General,Girls,1.46,1.8,11.67
2013,Satara,OBC,Overall,0.0,0.0,12.77
2013,Satara,OBC,Boys,0.0,0.0,12.82
2013,Satara,OBC,Girls,0.35,0.73,12.71
2013,Satara,SC,Overall,0.5,0.62,16.18
2013,Satara,SC,Boys,0.27,0.36,17.34
2013,Satara,SC,Girls,0.76,0.94,14.82
2013,Satara,ST,Overall,0.0,12.03,40.26
2013,Satara,ST,Boys,0.0,12.53,44.34
2013,Satara,ST,Girls,0.47,11.38,33.33
2013,Sindhudurg,Overall,Overall,0.45,0.0,12.73
2013,Sindhudurg,Overall,Boys,0.47,0.0,12.87
2013,Sindhudurg,Overall,Girls,0.44,0.44,12.59
2013,Sindhudurg,General,Overall,0.0,0.0,9.99
2013,Sindhudurg,General,Boys,0.0,0.0,9.92
2013,Sindhudurg,General,Girls,0.0,0.0,10.06
2013,Sindhudurg,OBC,Overall,1.72,3.49,17.39
2013,Sindhudurg,OBC,Boys,1.84,2.79,17.55
2013,Sindhudurg,OBC,Girls,1.59,4.25,17.2
2013,Sindhudurg,SC,Overall,0.0,0.0,11.99
2013,Sindhudurg,SC,Boys,0.5,0.0,13.87
2013,Sindhudurg,SC,Girls,0.0,0.87,9.84
2013,Sindhudurg,ST,Overall,2.04,0.0,15.28
2013,Sindhudurg,ST,Boys,0.34,0.0,10.18
2013,Sindhudurg,ST,Girls,3.78,0.0,20.37
2013,Solapur,Overall,Overall,3.54,3.97,22.51
2013,Solapur,Overall,Boys,3.44,2.7,22.01
2013,Solapur,Overall,Girls,3.66,5.45,23.14
2013,Solapur,General,Overall,3.07,2.98,20.88
2013,Solapur,General,Boys,3.0,2.38,20.93
2013,Solapur,General,Girls,3.17,3.69,20.82
2013,Solapur,OBC,Overall,3.27,3.68,21.26
2013,Solapur,OBC,Boys,3.25,1.95,20.2
2013,Solapur,OBC,Girls,3.3,5.69,22.63
2013,Solapur,SC,Overall,4.14,5.49,27.28
2013,Solapur,SC,Boys,3.72,3.32,26.06
2013,Solapur,SC,Girls,4.57,7.91,28.85
2013,Solapur,ST,Overall,11.65,18.25,49.55
2013,Solapur,ST,Boys,11.77,18.58,50.07
2013,Solapur,ST,Girls,11.49,17.81,48.72
2013,Wardha,Overall,Overall,1.27,0.35,10.82
2013,Wardha,Overall,Boys,1.46,0.04,13.16
2013,Wardha,Overall,Girls,1.07,0.69,8.33
2013,Wardha,General,Overall,2.53,10.13,23.88
2013,Wardha,General,Boys,2.96,9.34,25.84
2013,Wardha,General,Girls,2.06,11.05,21.68
2013,Wardha,OBC,Overall,0.32,0.0,7.86
2013,Wardha,OBC,Boys,0.44,0.0,10.59
2013,Wardha,OBC,Girls,0.18,0.0,4.98
2013,Wardha,SC,Overall,3.07,1.29,10.09
2013,Wardha,SC,Boys,3.49,1.9,11.8
2013,Wardha,SC,Girls,2.61,0.61,8.19
2013,Wardha,ST,Overall,2.61,1.04,16.38
2013,Wardha,ST,Boys,2.67,1.01,17.78
2013,Wardha,ST,Girls,2.55,1.08,14.95
2013,Washim,Overall,Overall,1.46,3.29,14.9
2013,Washim,Overall,Boys,1.86,2.93,13.0
