Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2018,Ahilyanagar,Rural,Primary School (I-V),,31.0,2923.0,1.0,175.0
2018,Ahilyanagar,Rural,Upper Primary School (I-VIII),,48.0,517.0,2.0,104.0
2018,Ahilyanagar,Rural,Secondary School (VI-X),,125.0,0.0,2.0,67.0
2018,Ahilyanagar,Rural,Secondary School (I-X),,339.0,0.0,15.0,68.0
2018,Ahilyanagar,Rural,Higher Secondary School (I-XII),,187.0,0.0,7.0,37.0
2018,Ahilyanagar,Urban,Primary School (I-V),,49.0,128.0,1.0,44.0
2018,Ahilyanagar,Urban,Upper Primary School (I-VIII),,57.0,55.0,1.0,47.0
2018,Ahilyanagar,Urban,Secondary School (VI-X),,24.0,2.0,1.0,14.0
2018,Ahilyanagar,Urban,Secondary School (I-X),,41.0,1.0,1.0,23.0
2018,Ahilyanagar,Urban,Higher Secondary School (I-XII),,51.0,0.0,0.0,8.0
2019,Ahilyanagar,Rural,Primary School (I-V),,31.0,2904.0,0.0,153.0
2019,Ahilyanagar,Rural,Upper Primary School (I-VIII),,47.0,525.0,2.0,97.0
2019,Ahilyanagar,Rural,Secondary School (VI-X),,132.0,0.0,1.0,58.0
2019,Ahilyanagar,Rural,Secondary School (I-X),,338.0,0.0,14.0,78.0
2019,Ahilyanagar,Rural,Higher Secondary School (I-XII),,183.0,0.0,8.0,49.0
2019,Ahilyanagar,Urban,Primary School (I-V),,50.0,140.0,1.0,50.0
2019,Ahilyanagar,Urban,Upper Primary School (I-VIII),,58.0,55.0,0.0,47.0
2019,Ahilyanagar,Urban,Secondary School (VI-X),,25.0,0.0,2.0,14.0
2019,Ahilyanagar,Urban,Secondary School (I-X),,44.0,1.0,1.0,21.0
2019,Ahilyanagar,Urban,Higher Secondary School (I-XII),,54.0,0.0,0.0,12.0
2020,Ahilyanagar,Rural,Primary School (I-V),,31.0,2897.0,0.0,137.0
2020,Ahilyanagar,Rural,Upper Primary School (I-VIII),,47.0,529.0,2.0,90.0
2020,Ahilyanagar,Rural,Secondary School (VI-X),,131.0,0.0,1.0,56.0
2020,Ahilyanagar,Rural,Secondary School (I-X),,338.0,0.0,14.0,78.0
2020,Ahilyanagar,Rural,Higher Secondary School (I-XII),,183.0,0.0,8.0,67.0
2020,Ahilyanagar,Urban,Primary School (I-V),,51.0,137.0,1.0,48.0
2020,Ahilyanagar,Urban,Upper Primary School (I-VIII),,58.0,57.0,0.0,44.0
2020,Ahilyanagar,Urban,Secondary School (VI-X),,25.0,0.0,2.0,13.0
2020,Ahilyanagar,Urban,Secondary School (I-X),,44.0,1.0,1.0,22.0
2020,Ahilyanagar,Urban,Higher Secondary School (I-XII),,54.0,0.0,0.0,15.0
2021,Ahilyanagar,Rural,Primary School (I-V),,27.0,2881.0,0.0,110.0
2021,Ahilyanagar,Rural,Upper Primary School (I-VIII),,44.0,532.0,2.0,84.0
2021,Ahilyanagar,Rural,Secondary School (VI-X),,132.0,0.0,1.0,50.0
2021,Ahilyanagar,Rural,Secondary School (I-X),,338.0,0.0,15.0,74.0
2021,Ahilyanagar,Rural,Higher Secondary School (I-XII),,181.0,0.0,8.0,73.0
2021,Ahilyanagar,Urban,Primary School (I-V),,55.0,148.0,1.0,51.0
2021,Ahilyanagar,Urban,Upper Primary School (I-VIII),,61.0,58.0,0.0,48.0
2021,Ahilyanagar,Urban,Secondary School (VI-X),,26.0,0.0,2.0,15.0
2021,Ahilyanagar,Urban,Secondary School (I-X),,45.0,1.0,0.0,23.0
2021,Ahilyanagar,Urban,Higher Secondary School (I-XII),,56.0,0.0,0.0,17.0
2012,Akola,Rural,Primary School (I-V),,7.0,566.0,5.0,42.0
2012,Akola,Rural,Upper Primary School (I-VIII),,15.0,327.0,17.0,21.0
2012,Akola,Rural,Secondary School (VI-X),,58.0,0.0,5.0,25.0
2012,Akola,Rural,Secondary School (I-X),,69.0,1.0,3.0,8.0
2012,Akola,Rural,Higher Secondary School (I-XII),,75.0,3.0,2.0,2.0
2012,Akola,Urban,Primary School (I-V),,12.0,39.0,45.0,65.0
2012,Akola,Urban,Upper Primary School (I-VIII),,25.0,24.0,20.0,49.0
2012,Akola,Urban,Secondary School (VI-X),,8.0,0.0,0.0,29.0
2012,Akola,Urban,Secondary School (I-X),,38.0,6.0,0.0,24.0
2012,Akola,Urban,Higher Secondary School (I-XII),,35.0,3.0,0.0,5.0
2013,Akola,Rural,Primary School (I-V),0.0,10.0,569.0,0.0,49.0
2013,Akola,Rural,Upper Primary School (I-VIII),0.0,26.0,328.0,4.0,23.0
2013,Akola,Rural,Secondary School (VI-X),0.0,8.0,0.0,74.0,4.0
2013,Akola,Rural,Secondary School (I-X),0.0,70.0,1.0,2.0,10.0
2013,Akola,Rural,Higher Secondary School (I-XII),0.0,75.0,3.0,0.0,4.0
2013,Akola,Urban,Primary School (I-V),,14.0,77.0,1.0,67.0
2013,Akola,Urban,Upper Primary School (I-VIII),,32.0,39.0,1.0,43.0
2013,Akola,Urban,Secondary School (VI-X),,3.0,0.0,34.0,0.0
2013,Akola,Urban,Secondary School (I-X),,37.0,6.0,2.0,22.0
2013,Akola,Urban,Higher Secondary School (I-XII),,34.0,3.0,0.0,6.0
