Year,District,Age Group,Gender,Primary,Middle,Matriculation/Secondary,Higher Secondary/ Intermediate/ Pre University/ Senior Secondary,Non technical diploma or certificate not equal to degree,Technical diploma or certificate not equal to degree,Graduate and above
1991,Latur,7,Male,0,0,0,0,0,0,0
1991,Nagpur,7,Male,0,0,0,0,0,0,0
1991,Nashik,7,Male,0,0,0,0,0,0,0
1991,Parbhani,7,Male,0,0,0,0,0,0,0
1991,Pune,7,Male,0,0,0,0,0,0,0
1991,Raigad,7,Male,0,0,0,0,0,0,0
1991,Ratnagiri,7,Male,0,0,0,0,0,0,0
1991,Sangli,7,Male,0,0,0,0,0,0,0
1991,Satara,7,Male,0,0,0,0,0,0,0
1991,Sindhudurg,7,Male,0,0,0,0,0,0,0
1991,Solapur,7,Male,0,0,0,0,0,0,0
