Year,District,Select School Management Type,Social Category,Female,Male
2012,Nagpur,Government Aided,ST,454.0,419.0
2012,Nagpur,Government Aided,ORC,,
2012,Nagpur,Government Aided,Others,29.0,20.0
2012,Nagpur,Private Unaided,General,2963.0,334.0
2012,Nagpur,Private Unaided,OBC,2306.0,472.0
2012,Nagpur,Private Unaided,SC,760.0,186.0
2012,Nagpur,Private Unaided,ST,232.0,37.0
2012,Nagpur,Private Unaided,ORC,1.0,
2012,Nagpur,Private Unaided,Others,38.0,3.0
2012,Nagpur,Local body,General,266.0,124.0
2012,Nagpur,Local body,OBC,2104.0,2290.0
2012,Nagpur,Local body,SC,552.0,497.0
2012,Nagpur,Local body,ST,206.0,248.0
2012,Nagpur,Local body,ORC,,
2012,Nagpur,Local body,Others,,
2012,Nagpur,Others,General,549.0,184.0
2012,Nagpur,Others,OBC,911.0,593.0
2012,Nagpur,Others,SC,343.0,200.0
2012,Nagpur,Others,ST,134.0,77.0
2012,Nagpur,Others,ORC,,
2012,Nagpur,Others,Others,6.0,3.0
2012,Nanded,Government Aided,General,1262.0,3077.0
2012,Nanded,Government Aided,OBC,484.0,1930.0
2012,Nanded,Government Aided,SC,241.0,971.0
2012,Nanded,Government Aided,ST,126.0,324.0
2012,Nanded,Government Aided,ORC,9.0,53.0
2012,Nanded,Government Aided,Others,22.0,84.0
2012,Nanded,Private Unaided,General,512.0,591.0
2012,Nanded,Private Unaided,OBC,171.0,298.0
2012,Nanded,Private Unaided,SC,103.0,183.0
2012,Nanded,Private Unaided,ST,21.0,28.0
2012,Nanded,Private Unaided,ORC,1.0,
2012,Nanded,Private Unaided,Others,6.0,19.0
2012,Nanded,Local body,General,1161.0,2735.0
2012,Nanded,Local body,OBC,1036.0,2669.0
2012,Nanded,Local body,SC,417.0,1079.0
2012,Nanded,Local body,ST,156.0,605.0
2012,Nanded,Local body,ORC,7.0,10.0
2012,Nanded,Local body,Others,72.0,81.0
2012,Nanded,Others,General,118.0,536.0
2012,Nanded,Others,OBC,73.0,569.0
2012,Nanded,Others,SC,43.0,282.0
2012,Nanded,Others,ST,31.0,135.0
2012,Nanded,Others,ORC,5.0,20.0
2012,Nanded,Others,Others,8.0,30.0
2012,Nandurbar,Government Aided,General,164.0,644.0
2012,Nandurbar,Government Aided,OBC,413.0,1163.0
2012,Nandurbar,Government Aided,SC,80.0,259.0
2012,Nandurbar,Government Aided,ST,195.0,407.0
2012,Nandurbar,Government Aided,ORC,,
2012,Nandurbar,Government Aided,Others,,1.0
2012,Nandurbar,Private Unaided,General,93.0,135.0
2012,Nandurbar,Private Unaided,OBC,161.0,296.0
2012,Nandurbar,Private Unaided,SC,20.0,46.0
2012,Nandurbar,Private Unaided,ST,58.0,134.0
2012,Nandurbar,Private Unaided,ORC,,
2012,Nandurbar,Private Unaided,Others,,9.0
2012,Nandurbar,Local body,General,350.0,744.0
2012,Nandurbar,Local body,OBC,633.0,1082.0
2012,Nandurbar,Local body,SC,98.0,331.0
