Year,District,Taluka,Select Type of Police Establishment,Number
2021,Kolhapur,Radhanagari,Police Stations,1
2021,Kolhapur,Kagal,Police Stations,2
2021,Kolhapur,Bhudargad,Police Stations,1
2021,Kolhapur,Ajara,Police Stations,1
2021,Kolhapur,Gadhinglaj,Police Stations,2
2021,Kolhapur,Chandgad,Police Stations,1
2018,Latur,Latur,Police Stations,7
2018,Latur,Renapur,Police Stations,1
2018,Latur,Ahamadpur,Police Stations,3
2018,Latur,Jalkot,Police Stations,1
2018,Latur,Chakur,Police Stations,1
2018,Latur,Shirur-Anantpal,Police Stations,1
2018,Latur,Aosa,Police Stations,3
2018,Latur,Nilanga,Police Stations,4
2018,Latur,Devani,Police Stations,1
2018,Latur,Udgir,Police Stations,2
2019,Latur,Latur,Police Stations,8
2019,Latur,Renapur,Police Stations,1
2019,Latur,Ahamadpur,Police Stations,3
2019,Latur,Jalkot,Police Stations,1
2019,Latur,Chakur,Police Stations,1
2019,Latur,Shirur-Anantpal,Police Stations,1
2019,Latur,Aosa,Police Stations,3
2019,Latur,Nilanga,Police Stations,3
2019,Latur,Devani,Police Stations,1
2019,Latur,Udgir,Police Stations,2
2020,Latur,Latur,Police Stations,8
2020,Latur,Renapur,Police Stations,1
2020,Latur,Ahamadpur,Police Stations,3
2020,Latur,Jalkot,Police Stations,1
2020,Latur,Chakur,Police Stations,1
2020,Latur,Shirur-Anantpal,Police Stations,1
2020,Latur,Aosa,Police Stations,3
2020,Latur,Nilanga,Police Stations,3
2020,Latur,Devani,Police Stations,1
2020,Latur,Udgir,Police Stations,2
2021,Latur,Latur,Police Stations,8
2021,Latur,Renapur,Police Stations,1
2021,Latur,Ahamadpur,Police Stations,3
2021,Latur,Jalkot,Police Stations,1
2021,Latur,Chakur,Police Stations,1
2021,Latur,Shirur-Anantpal,Police Stations,1
2021,Latur,Aosa,Police Stations,3
2021,Latur,Nilanga,Police Stations,3
2021,Latur,Devani,Police Stations,1
2021,Latur,Udgir,Police Stations,2
2018,Mumbai City,Mumbai City,Police Stations,94
2019,Mumbai City,Mumbai City,Police Stations,94
2020,Mumbai City,Mumbai City,Police Stations,94
2021,Mumbai City,Mumbai City,Police Stations,94
2018,Mumbai Suburban,Adheri,Police Stations,
2018,Mumbai Suburban,Borivali,Police Stations,
2018,Mumbai Suburban,Kurla,Police Stations,
2019,Mumbai Suburban,Adheri,Police Stations,
2019,Mumbai Suburban,Borivali,Police Stations,
2019,Mumbai Suburban,Kurla,Police Stations,
2020,Mumbai Suburban,Adheri,Police Stations,
2020,Mumbai Suburban,Borivali,Police Stations,
2020,Mumbai Suburban,Kurla,Police Stations,
2021,Mumbai Suburban,Adheri,Police Stations,
2021,Mumbai Suburban,Borivali,Police Stations,
2021,Mumbai Suburban,Kurla,Police Stations,
2018,Nagpur,Narkhed,Police Stations,2
2018,Nagpur,Katol,Police Stations,2
2018,Nagpur,Kalameshwar,Police Stations,1
2018,Nagpur,Sawner,Police Stations,4
2018,Nagpur,Parashivani,Police Stations,2
2018,Nagpur,Ramtech,Police Stations,2
2018,Nagpur,Mauda,Police Stations,2
2018,Nagpur,Kamathi,Police Stations,2
2018,Nagpur,Nagpur (Gra),Police Stations,1
2018,Nagpur,Nagpur (Sh),Police Stations,27
2018,Nagpur,Hingana,Police Stations,2
2018,Nagpur,Umred,Police Stations,2
2018,Nagpur,Kuhi,Police Stations,2
2018,Nagpur,Bhiwapur,Police Stations,1
2019,Nagpur,Narkhed,Police Stations,2
2019,Nagpur,Katol,Police Stations,2
2019,Nagpur,Kalameshwar,Police Stations,1
2019,Nagpur,Sawner,Police Stations,4
2019,Nagpur,Parashivani,Police Stations,2
