District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Bhandara,2018,Public Court,,,
Bhandara,2019,Civil Court,194.0,78.0,272.0
Bhandara,2019,Consumer Forum,,,
Bhandara,2019,Criminal Court,119.0,99.0,218.0
Bhandara,2019,District Magistrate And Executive Magistrate,,,
Bhandara,2019,"Family Court
",,,
Bhandara,2019,Industrial Court,93.0,4.0,97.0
Bhandara,2019,Labor Court,1.0,,1.0
Bhandara,2019,Public Court,,,
Bhandara,2020,Civil Court,125.0,88.0,213.0
Bhandara,2020,Consumer Forum,,,
Bhandara,2020,Criminal Court,15.0,425.0,575.0
Bhandara,2020,District Magistrate And Executive Magistrate,,,
Bhandara,2020,"Family Court
",,,
Bhandara,2020,Industrial Court,15.0,,15.0
Bhandara,2020,Labor Court,4.0,,4.0
Bhandara,2020,Public Court,,,
Bhandara,2021,Civil Court,12.0,35.0,155.0
Bhandara,2021,Consumer Forum,,,
Bhandara,2021,Criminal Court,69.0,89.0,158.0
Bhandara,2021,District Magistrate And Executive Magistrate,,,
Bhandara,2021,"Family Court
",,,
Bhandara,2021,Industrial Court,24.0,4.0,28.0
Bhandara,2021,Labor Court,13.0,,13.0
Bhandara,2021,Public Court,,,
Buldhana,2013,Civil Court,332.0,155.0,1387.0
Buldhana,2013,Consumer Forum,,,
Buldhana,2013,Criminal Court,145.0,2214.0,2359.0
Buldhana,2013,District Magistrate And Executive Magistrate,,,
Buldhana,2013,"Family Court
",,,
Buldhana,2013,Industrial Court,,,
Buldhana,2013,Labor Court,,,
Buldhana,2013,Public Court,,,
Buldhana,2014,Civil Court,332.0,155.0,1387.0
Buldhana,2014,Consumer Forum,,,
Buldhana,2014,Criminal Court,245.0,2214.0,2459.0
Buldhana,2014,District Magistrate And Executive Magistrate,,,
Buldhana,2014,"Family Court
",,,
Buldhana,2014,Industrial Court,351.0,1.0,352.0
Buldhana,2014,Labor Court,,,
Buldhana,2014,Public Court,,,
Buldhana,2015,Civil Court,2568.0,1174.0,3742.0
Buldhana,2015,Consumer Forum,,,
Buldhana,2015,Criminal Court,1684.0,1442.0,3126.0
Buldhana,2015,District Magistrate And Executive Magistrate,,,
Buldhana,2015,"Family Court
",,,
Buldhana,2015,Industrial Court,23.0,,23.0
Buldhana,2015,Labor Court,16.0,,16.0
Buldhana,2015,Public Court,,,
Buldhana,2016,Civil Court,1751.0,954.0,275.0
Buldhana,2016,Consumer Forum,,,
Buldhana,2016,Criminal Court,158.0,1443.0,323.0
Buldhana,2016,District Magistrate And Executive Magistrate,,,
Buldhana,2016,Family Court,,,
Buldhana,2016,Industrial Court,14.0,,14.0
Buldhana,2016,Labor Court,,,
Buldhana,2016,Public Court,,,
Buldhana,2017,Civil Court,284.0,258.0,4142.0
Buldhana,2017,Consumer Forum,,,
Buldhana,2017,Criminal Court,1315.0,1692.0,37.0
Buldhana,2017,District Magistrate And Executive Magistrate,,,
