Year,District,Taluka,Establishment,Number of Officers/Employees
2019,Gondia,Sa/Arguni,Outposts,
2019,Gondia,Arguni/Mor,Outposts,68
2019,Gondia,Devari,Outposts,69
2020,Gondia,Tiroda,Outposts,
2020,Gondia,Goregaon,Outposts,
2020,Gondia,Gondia,Outposts,
2020,Gondia,Aamgaon,Outposts,
2020,Gondia,Salekasa,Outposts,113
2020,Gondia,Sa/Arguni,Outposts,
2020,Gondia,Arguni/Mor,Outposts,76
2020,Gondia,Devari,Outposts,79
2021,Gondia,Tiroda,Outposts,
2021,Gondia,Goregaon,Outposts,
2021,Gondia,Gondia,Outposts,
2021,Gondia,Aamgaon,Outposts,
2021,Gondia,Salekasa,Outposts,105
2021,Gondia,Sa/Arguni,Outposts,
2021,Gondia,Arguni/Mor,Outposts,75
2021,Gondia,Devari,Outposts,76
2018,Hingoli,Sengaon,Outposts,3
2018,Hingoli,Hingoli,Outposts,3
2018,Hingoli,Aundha Na,Outposts,6
2018,Hingoli,Kalamanuri,Outposts,9
2018,Hingoli,Vasamat,Outposts,3
2019,Hingoli,Sengaon,Outposts,3
2019,Hingoli,Hingoli,Outposts,3
2019,Hingoli,Aundha Na,Outposts,6
2019,Hingoli,Kalamanuri,Outposts,9
2019,Hingoli,Vasamat,Outposts,3
2020,Hingoli,Sengaon,Outposts,3
2020,Hingoli,Hingoli,Outposts,3
2020,Hingoli,Aundha Na,Outposts,6
2020,Hingoli,Kalamanuri,Outposts,9
2020,Hingoli,Vasamat,Outposts,3
2021,Hingoli,Sengaon,Outposts,3
2021,Hingoli,Hingoli,Outposts,3
2021,Hingoli,Aundha Na,Outposts,6
2021,Hingoli,Kalamanuri,Outposts,9
2021,Hingoli,Vasamat,Outposts,3
2018,Jalna,Bhokardan,Outposts,
2018,Jalna,Jaffrabad,Outposts,
2018,Jalna,Jalna,Outposts,
2018,Jalna,Badnapur,Outposts,
2018,Jalna,Ambad,Outposts,
2018,Jalna,Ghansawangi,Outposts,
2018,Jalna,Partur,Outposts,
2018,Jalna,Mantha,Outposts,
2019,Jalna,Bhokardan,Outposts,
2019,Jalna,Jaffrabad,Outposts,
2019,Jalna,Jalna,Outposts,
2019,Jalna,Badnapur,Outposts,
2019,Jalna,Ambad,Outposts,11
2019,Jalna,Ghansawangi,Outposts,
2019,Jalna,Partur,Outposts,2
2019,Jalna,Mantha,Outposts,4
2020,Jalna,Bhokardan,Outposts,
2020,Jalna,Jaffrabad,Outposts,
2020,Jalna,Jalna,Outposts,
2020,Jalna,Badnapur,Outposts,
2020,Jalna,Ambad,Outposts,10
2020,Jalna,Ghansawangi,Outposts,
2020,Jalna,Partur,Outposts,3
2020,Jalna,Mantha,Outposts,4
2021,Jalna,Bhokardan,Outposts,
2021,Jalna,Jaffrabad,Outposts,
2021,Jalna,Jalna,Outposts,
2021,Jalna,Badnapur,Outposts,
2021,Jalna,Ambad,Outposts,10
2021,Jalna,Ghansawangi,Outposts,
2021,Jalna,Partur,Outposts,3
2021,Jalna,Mantha,Outposts,4
2018,Kolhapur,Shahuwadi,Outposts,15
2018,Kolhapur,Panhala,Outposts,
2018,Kolhapur,Hatkanangale,Outposts,
2018,Kolhapur,Shirol,Outposts,4
2018,Kolhapur,Karveer,Outposts,8
2018,Kolhapur,Gaganbavada,Outposts,4
2018,Kolhapur,Radhanagari,Outposts,8
2018,Kolhapur,Kagal,Outposts,8
2018,Kolhapur,Bhudargad,Outposts,4
2018,Kolhapur,Ajara,Outposts,8
2018,Kolhapur,Gadhinglaj,Outposts,4
2018,Kolhapur,Chandgad,Outposts,4
2019,Kolhapur,Shahuwadi,Outposts,15
2019,Kolhapur,Panhala,Outposts,
2019,Kolhapur,Hatkanangale,Outposts,
2019,Kolhapur,Shirol,Outposts,4
2019,Kolhapur,Karveer,Outposts,8
2019,Kolhapur,Gaganbavada,Outposts,4
2019,Kolhapur,Radhanagari,Outposts,8
2019,Kolhapur,Kagal,Outposts,8
2019,Kolhapur,Bhudargad,Outposts,4
2019,Kolhapur,Ajara,Outposts,8
2019,Kolhapur,Gadhinglaj,Outposts,4
2019,Kolhapur,Chandgad,Outposts,4
2020,Kolhapur,Shahuwadi,Outposts,21
2020,Kolhapur,Panhala,Outposts,
2020,Kolhapur,Hatkanangale,Outposts,
2020,Kolhapur,Shirol,Outposts,5
2020,Kolhapur,Karveer,Outposts,11
2020,Kolhapur,Gaganbavada,Outposts,4
2020,Kolhapur,Radhanagari,Outposts,8
2020,Kolhapur,Kagal,Outposts,10
2020,Kolhapur,Bhudargad,Outposts,4
2020,Kolhapur,Ajara,Outposts,9
2020,Kolhapur,Gadhinglaj,Outposts,7
2020,Kolhapur,Chandgad,Outposts,6
2021,Kolhapur,Shahuwadi,Outposts,9
2021,Kolhapur,Panhala,Outposts,
2021,Kolhapur,Hatkanangale,Outposts,
2021,Kolhapur,Shirol,Outposts,5
2021,Kolhapur,Karveer,Outposts,11
2021,Kolhapur,Gaganbavada,Outposts,4
2021,Kolhapur,Radhanagari,Outposts,8
2021,Kolhapur,Kagal,Outposts,10
2021,Kolhapur,Bhudargad,Outposts,4
2021,Kolhapur,Ajara,Outposts,9
2021,Kolhapur,Gadhinglaj,Outposts,7
2021,Kolhapur,Chandgad,Outposts,6
2018,Latur,Latur,Outposts,4
2018,Latur,Renapur,Outposts,2
2018,Latur,Ahamadpur,Outposts,8
2018,Latur,Jalkot,Outposts,
2018,Latur,Chakur,Outposts,2
2018,Latur,Shirur-Anantpal,Outposts,2
2018,Latur,Aosa,Outposts,4
2018,Latur,Nilanga,Outposts,4
2018,Latur,Devani,Outposts,
2018,Latur,Udgir,Outposts,2
