Year,District,Select Offense,Cases
2019,Dharashiv,"Forgery, Cheating & Fraud",93
2019,Palghar,Counterfeiting,2
2019,Palghar,Cheating,453
2019,Palghar,Forgery,88
2019,Palghar,"Forgery, Cheating & Fraud",568
2019,Parbhani,Counterfeiting,0
2019,Parbhani,Cheating,19
2019,Parbhani,Forgery,0
2019,Parbhani,"Forgery, Cheating & Fraud",102
2019,Pune,Counterfeiting,13
2019,Pune,Cheating,1110
2019,Pune,Forgery,96
2019,Pune,"Forgery, Cheating & Fraud",1602
2019,Raigad,Counterfeiting,1
2019,Raigad,Cheating,155
2019,Raigad,Forgery,0
2019,Raigad,"Forgery, Cheating & Fraud",190
2019,Ratnagiri,Counterfeiting,0
2019,Ratnagiri,Cheating,80
2019,Ratnagiri,Forgery,3
2019,Ratnagiri,"Forgery, Cheating & Fraud",135
2019,Sangli,Counterfeiting,1
2019,Sangli,Cheating,116
2019,Sangli,Forgery,26
2019,Sangli,"Forgery, Cheating & Fraud",190
2019,Satara,Counterfeiting,8
2019,Satara,Cheating,169
2019,Satara,Forgery,5
2019,Satara,"Forgery, Cheating & Fraud",184
2019,Sindhudurg,Counterfeiting,0
2019,Sindhudurg,Cheating,18
2019,Sindhudurg,Forgery,3
2019,Sindhudurg,"Forgery, Cheating & Fraud",43
2019,Solapur,Counterfeiting,4
2019,Solapur,Cheating,341
2019,Solapur,Forgery,11
2019,Solapur,"Forgery, Cheating & Fraud",366
2019,Thane,Counterfeiting,8
2019,Thane,Cheating,1321
2019,Thane,Forgery,33
2019,Thane,"Forgery, Cheating & Fraud",1592
2019,Wardha,Counterfeiting,1
2019,Wardha,Cheating,34
2019,Wardha,Forgery,8
2019,Wardha,"Forgery, Cheating & Fraud",109
2019,Washim,Counterfeiting,0
2019,Washim,Cheating,37
2019,Washim,Forgery,2
2019,Washim,"Forgery, Cheating & Fraud",43
2019,Yavatmal,Counterfeiting,1
2019,Yavatmal,Cheating,51
2019,Yavatmal,Forgery,2
2019,Yavatmal,"Forgery, Cheating & Fraud",85
2020,Ahilyanagar,Counterfeiting,2
2020,Ahilyanagar,Cheating,218
2020,Ahilyanagar,Forgery,0
2020,Ahilyanagar,"Forgery, Cheating & Fraud",218
2020,Akola,Counterfeiting,2
2020,Akola,Cheating,72
2020,Akola,Forgery,1
2020,Akola,"Forgery, Cheating & Fraud",84
2020,Amravati,Counterfeiting,0
2020,Amravati,Cheating,157
