District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Bhandara,2019,Industrial Court,1,196,1,1,85,14,93,4
Bhandara,2019,Family Court,,,,,,,,
Bhandara,2019,District Magistrate And Executive Magistrate,,,,,,,,
Bhandara,2019,Customer Forum,1,329,3,2,212,117,0,0
Bhandara,2020,Civil Court,6,844,6,4,351,280,125,88
Bhandara,2020,Criminal Court,16,3669,16,16,1532,1562,150,425
Bhandara,2020,Public Court,,,,,,,,
Bhandara,2020,Labor Court,1,19,1,1,6,9,4,0
Bhandara,2020,Industrial Court,1,27,1,1,11,1,15,0
Bhandara,2020,Family Court,1,529,12,12,529,,,
Bhandara,2020,District Magistrate And Executive Magistrate,11,1785,11,11,1785,,,
Bhandara,2020,Customer Forum,1,381,3,2,255,126,,
Bhandara,2021,Civil Court,5,1836,5,3,821,860,120,35
Bhandara,2021,Criminal Court,20,10358,20,20,8504,1696,69,89
Bhandara,2021,Public Court,,,,,,,,
Bhandara,2021,Labor Court,1,87,1,1,49,25,13,0
Bhandara,2021,Industrial Court,1,99,1,1,52,19,24,4
Bhandara,2021,Family Court,1,461,1,1,280,181,,
Bhandara,2021,District Magistrate And Executive Magistrate,11,1189,11,11,1189,,,
Bhandara,2021,Customer Forum,1,231,3,2,188,43,,
Buldhana,2013,Civil Court,40,5692,38,38,1033,3272,332,1055
Buldhana,2013,Criminal Court,51,26522,35,35,724,23439,145,2214
Buldhana,2013,Public Court,,6517,,,6517,0,0,0
Buldhana,2013,Labor Court,1,281,1,1,,,,
Buldhana,2013,Industrial Court,1,69,1,1,38,31,,
Buldhana,2013,Family Court,,,,,,,,
Buldhana,2013,District Magistrate And Executive Magistrate,,3495,,,3495,,,
Buldhana,2013,Customer Forum,1,476,3,2,376,100,,
Buldhana,2014,Civil Court,40,5692,38,38,1033,3272,332,1055
Buldhana,2014,Criminal Court,51,26622,35,35,724,23439,245,2214
Buldhana,2014,Public Court, , , , , , , ,
Buldhana,2014,Labor Court,1,115,1,1,102,13, , 
Buldhana,2014,Industrial Court,1,1126,1,1,698,76,351,1
Buldhana,2014,Family Court, , , , , , , ,
Buldhana,2014,District Magistrate And Executive Magistrate, ,7859, , ,0,7859, , 
Buldhana,2014,Customer Forum,,,,,,,,
Buldhana,2015,Civil Court,6,8146,4,4,3599,805,2568,1174
Buldhana,2015,Criminal Court,35,25690,31,31,18813,3751,1684,1442
Buldhana,2015,Public Court, , , , , , , , 
Buldhana,2015,Labor Court,1,404,1,1,361,27,16, 
Buldhana,2015,Industrial Court,1,83,1,1,54,6,23, 
Buldhana,2015,Family Court, , , , , , , , 
Buldhana,2015,District Magistrate And Executive Magistrate,34,8488, , ,0,8488,0,0
Buldhana,2015,Customer Forum,1,283,3,3,221,62, , 
Buldhana,2016,Civil Court,40,7760,40,40,4166,889,1751,954
Buldhana,2016,Criminal Court,38,31430,38,38,24194,4213,1580,1443
Buldhana,2016,Public Court,  ,  ,  ,  ,  ,  ,  ,  
Buldhana,2016,Labor Court,1,427,11,10,99,50,0,0
Buldhana,2016,Industrial Court,1,35,1,1,21, ,14,  
Buldhana,2016,Family Court,  ,  ,  ,  ,  ,  ,  ,  
Buldhana,2016,District Magistrate And Executive Magistrate,34,9233,34,34,0,9233,0,0
Buldhana,2016,Customer Forum,1,470,3,3,440,30,0,0
Buldhana,2017,Civil Court,42,8898,42,42,3731,1025,2084,2058
Buldhana,2017,Criminal Court,40,29468,40,40,22371,4090,1315,1692
Buldhana,2017,Public Court, , , , , , , , 
Buldhana,2017,Labor Court,1,357,1,1,104,25, , 
