Year,District,Select Offense Under,Cases
2018,Jalna,"The Citizenship Act, 1955",0
2018,Jalna,"The Representation of the People Act, 1951",0
2018,Jalna,Crime Against Women and Related Acts,2
2018,Jalna,Children Related Acts,28
2018,Jalna,Scheduled Castes and Scheduled Tribes Related Acts,2
2018,Jalna,Information Technology/ Intellectual Property Related Acts,2
2018,Jalna,"The Negotiable Instruments Act, 1881",0
2018,Jalna,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Jalna,"Prevention of Corruption Act, 1988",28
2018,Jalna,Finance & Economic Acts,28
2018,Jalna,Environment & Pollution Related Acts,0
2018,Jalna,Railway Related Acts,0
2018,Jalna,Telegraph/ Cinematograph Acts,0
2018,Jalna,"Food, Drugs and Essential Commodities Acts",4
2018,Jalna,"The Mental Health Act, 1987",0
2018,Kolhapur,"The Arms Act, 1959",22
2018,Kolhapur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",52
2018,Kolhapur,The Gambling Act,956
2018,Kolhapur,"The Excise Act, 1944",0
2018,Kolhapur,Prohibition Act (State),1317
2018,Kolhapur,Indian Railways Act,0
2018,Kolhapur,Essential Commodities Act,10
2018,Kolhapur,"The Antiques and Art Treasures Act, 1972",0
2018,Kolhapur,"The Copy Right Act, 1957",7
2018,Kolhapur,"The Information Technology Act, 2000",5
2018,Kolhapur,"The Electricity Act, 2003",5
2018,Kolhapur,Wildlife Protection Act,2
2018,Kolhapur,Environmental (Protection) Act,3
2018,Kolhapur,The Air & The Water Prevention & Control of Pollution Act,0
2018,Kolhapur,Railway Property (Unlawful Possession) Act,0
2018,Kolhapur,"The Prevention of Damage to Public Property Act, 1984",5
2018,Kolhapur,"The Transplantation of Human Organs Act, 1994",0
2018,Kolhapur,"The Trade Marks Act, 1999",0
2018,Kolhapur,"The Citizenship Act, 1955",0
2018,Kolhapur,"The Representation of the People Act, 1951",3
2018,Kolhapur,Crime Against Women and Related Acts,9
2018,Kolhapur,Children Related Acts,142
2018,Kolhapur,Scheduled Castes and Scheduled Tribes Related Acts,12
2018,Kolhapur,Information Technology/ Intellectual Property Related Acts,12
2018,Kolhapur,"The Negotiable Instruments Act, 1881",0
2018,Kolhapur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Kolhapur,"Prevention of Corruption Act, 1988",34
2018,Kolhapur,Finance & Economic Acts,34
2018,Kolhapur,Environment & Pollution Related Acts,20
2018,Kolhapur,Railway Related Acts,0
2018,Kolhapur,Telegraph/ Cinematograph Acts,0
2018,Kolhapur,"Food, Drugs and Essential Commodities Acts",11
2018,Kolhapur,"The Mental Health Act, 1987",0
2018,Latur,"The Arms Act, 1959",70
2018,Latur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",10011
2018,Latur,The Gambling Act,1039
2018,Latur,"The Excise Act, 1944",0
