Year,District,Crime,Cases
2019,Sindhudurg,Kidnapping & Abduction,16.0
2019,Solapur,Kidnapping & Abduction,181.0
2019,Thane,Kidnapping & Abduction,518.0
2019,Wardha,Kidnapping & Abduction,106.0
2019,Washim,Kidnapping & Abduction,18.0
2019,Yavatmal,Kidnapping & Abduction,163.0
2018,Ahilyanagar,Kidnapping & Abduction,320.0
2018,Akola,Kidnapping & Abduction,96.0
2018,Amravati,Kidnapping & Abduction,110.0
2018,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,156.0
2018,Beed,Kidnapping & Abduction,28.0
2018,Bhandara,Kidnapping & Abduction,95.0
2018,Buldhana,Kidnapping & Abduction,77.0
2018,Chandrapur,Kidnapping & Abduction,140.0
2018,Dhule,Kidnapping & Abduction,27.0
2018,Gadchiroli,Kidnapping & Abduction,43.0
2018,Gondia,Kidnapping & Abduction,79.0
2018,Hingoli,Kidnapping & Abduction,21.0
2018,Jalgaon,Kidnapping & Abduction,153.0
2018,Jalna,Kidnapping & Abduction,44.0
2018,Kolhapur,Kidnapping & Abduction,157.0
2018,Latur,Kidnapping & Abduction,129.0
2018,Mumbai City,Kidnapping & Abduction,1352.0
2018,Nagpur,Kidnapping & Abduction,344.0
2018,Nanded,Kidnapping & Abduction,91.0
2018,Nandurbar,Kidnapping & Abduction,48.0
2018,Nasik,Kidnapping & Abduction,369.0
2018,Dharashiv,Kidnapping & Abduction,61.0
2018,Palghar,Kidnapping & Abduction,318.0
2018,Parbhani,Kidnapping & Abduction,43.0
2018,Pune,Kidnapping & Abduction,776.0
2018,Raigad,Kidnapping & Abduction,71.0
2018,Ratnagiri,Kidnapping & Abduction,61.0
2018,Sangli,Kidnapping & Abduction,192.0
2018,Satara,Kidnapping & Abduction,194.0
2018,Sindhudurg,Kidnapping & Abduction,16.0
2018,Solapur,Kidnapping & Abduction,156.0
2018,Thane,Kidnapping & Abduction,799.0
2018,Wardha,Kidnapping & Abduction,101.0
2018,Washim,Kidnapping & Abduction,16.0
2018,Yavatmal,Kidnapping & Abduction,142.0
2020,Ahilyanagar,Kidnapping & Abduction,313.0
2020,Akola,Kidnapping & Abduction,56.0
2020,Amravati,Kidnapping & Abduction,160.0
2020,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,104.0
2020,Beed,Kidnapping & Abduction,25.0
2020,Bhandara,Kidnapping & Abduction,63.0
2020,Buldhana,Kidnapping & Abduction,86.0
2020,Chandrapur,Kidnapping & Abduction,128.0
2020,Dhule,Kidnapping & Abduction,76.0
2020,Gadchiroli,Kidnapping & Abduction,28.0
2020,Gondia,Kidnapping & Abduction,38.0
2020,Hingoli,Kidnapping & Abduction,17.0
2020,Jalgaon,Kidnapping & Abduction,143.0
2020,Jalna,Kidnapping & Abduction,68.0
2020,Kolhapur,Kidnapping & Abduction,133.0
2020,Latur,Kidnapping & Abduction,86.0
2020,Mumbai City,Kidnapping & Abduction,770.0
2020,Nagpur,Kidnapping & Abduction,249.0
2020,Nanded,Kidnapping & Abduction,89.0
2020,Nandurbar,Kidnapping & Abduction,10.0
2020,Nasik,Kidnapping & Abduction,237.0
2020,Dharashiv,Kidnapping & Abduction,76.0
2020,Palghar,Kidnapping & Abduction,0.0
2020,Parbhani,Kidnapping & Abduction,37.0
2020,Pune,Kidnapping & Abduction,594.0
2020,Raigad,Kidnapping & Abduction,56.0
2020,Ratnagiri,Kidnapping & Abduction,33.0
2020,Sangli,Kidnapping & Abduction,152.0
2020,Satara,Kidnapping & Abduction,150.0
2020,Sindhudurg,Kidnapping & Abduction,13.0
2020,Solapur,Kidnapping & Abduction,200.0
2020,Thane,Kidnapping & Abduction,834.0
2020,Wardha,Kidnapping & Abduction,105.0
2020,Washim,Kidnapping & Abduction,10.0
2020,Yavatmal,Kidnapping & Abduction,115.0
2021,Ahilyanagar,Kidnapping & Abduction,287.0
2021,Akola,Kidnapping & Abduction,86.0
2021,Amravati,Kidnapping & Abduction,235.0
2021,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,204.0
2021,Beed,Kidnapping & Abduction,91.0
2021,Bhandara,Kidnapping & Abduction,68.0
2021,Buldhana,Kidnapping & Abduction,109.0
2021,Chandrapur,Kidnapping & Abduction,190.0
2021,Dhule,Kidnapping & Abduction,114.0
2021,Gadchiroli,Kidnapping & Abduction,46.0
2021,Gondia,Kidnapping & Abduction,60.0
2021,Hingoli,Kidnapping & Abduction,32.0
2021,Jalgaon,Kidnapping & Abduction,193.0
2021,Jalna,Kidnapping & Abduction,77.0
2021,Kolhapur,Kidnapping & Abduction,102.0
2021,Latur,Kidnapping & Abduction,116.0
2021,Mumbai City,Kidnapping & Abduction,1103.0
2021,Nagpur,Kidnapping & Abduction,428.0
2021,Nanded,Kidnapping & Abduction,94.0
2021,Nandurbar,Kidnapping & Abduction,67.0
2021,Nasik,Kidnapping & Abduction,340.0
2021,Dharashiv,Kidnapping & Abduction,81.0
2021,Palghar,Kidnapping & Abduction,71.0
2021,Parbhani,Kidnapping & Abduction,52.0
2021,Pune,Kidnapping & Abduction,923.0
2021,Raigad,Kidnapping & Abduction,98.0
2021,Ratnagiri,Kidnapping & Abduction,65.0
2021,Sangli,Kidnapping & Abduction,205.0
2021,Satara,Kidnapping & Abduction,181.0
2021,Sindhudurg,Kidnapping & Abduction,21.0
2021,Solapur,Kidnapping & Abduction,234.0
2021,Thane,Kidnapping & Abduction,1362.0
2021,Wardha,Kidnapping & Abduction,98.0
2021,Washim,Kidnapping & Abduction,18.0
2021,Yavatmal,Kidnapping & Abduction,108.0
2014,Ahilyanagar,Dowry Deaths,13.0
2014,Akola,Dowry Deaths,5.0
2014,Amravati,Dowry Deaths,9.0
2014,Chhatrapati Sambhaji Nagar,Dowry Deaths,9.0
2014,Beed,Dowry Deaths,3.0
2014,Bhandara,Dowry Deaths,3.0
2014,Buldhana,Dowry Deaths,22.0
2014,Chandrapur,Dowry Deaths,2.0
2014,Dhule,Dowry Deaths,11.0
2014,Gadchiroli,Dowry Deaths,0.0
2014,Gondia,Dowry Deaths,6.0
2014,Hingoli,Dowry Deaths,4.0
2014,Jalgaon,Dowry Deaths,1.0
2014,Jalna,Dowry Deaths,13.0
