Year,District,Crime,Cases
2021,Gadchiroli,Missing Children Deemed as Kidnapped,50.0
2021,Gondia,Missing Children Deemed as Kidnapped,
2021,Hingoli,Missing Children Deemed as Kidnapped,
2021,Jalgaon,Missing Children Deemed as Kidnapped,
2021,Jalna,Missing Children Deemed as Kidnapped,
2021,Kolhapur,Missing Children Deemed as Kidnapped,129.0
2021,Latur,Missing Children Deemed as Kidnapped,9.0
2021,Mumbai,Missing Children Deemed as Kidnapped,1175.0
2021,Nagpur,Missing Children Deemed as Kidnapped,34.0
2021,Nanded,Missing Children Deemed as Kidnapped,93.0
2021,Nandurbar,Missing Children Deemed as Kidnapped,74.0
2021,Nashik,Missing Children Deemed as Kidnapped,253.0
2021,Dharashiv,Missing Children Deemed as Kidnapped,46.0
2021,Palghar,Missing Children Deemed as Kidnapped,74.0
2021,Parbhani,Missing Children Deemed as Kidnapped,74.0
2021,Pune,Missing Children Deemed as Kidnapped,438.0
2021,Raigad,Missing Children Deemed as Kidnapped,126.0
2021,Ratnagiri,Missing Children Deemed as Kidnapped,48.0
2021,Sangli,Missing Children Deemed as Kidnapped,
2021,Satara,Missing Children Deemed as Kidnapped,112.0
2021,Sindhudurg,Missing Children Deemed as Kidnapped,5.0
2021,Solapur,Missing Children Deemed as Kidnapped,143.0
2021,Thane,Missing Children Deemed as Kidnapped,1301.0
2021,Wardha,Missing Children Deemed as Kidnapped,
2021,Washim,Missing Children Deemed as Kidnapped,23.0
2021,Yavatmal,Missing Children Deemed as Kidnapped,51.0
2014,Ahilyanagar,Attempts to Commit Suicide,
2014,Akola,Attempts to Commit Suicide,
2014,Amravati,Attempts to Commit Suicide,
2014,Chh. Sambhaji Nagar,Attempts to Commit Suicide,
2014,Beed,Attempts to Commit Suicide,
2014,Bhandara,Attempts to Commit Suicide,
2014,Buldhana,Attempts to Commit Suicide,
2014,Chandrapur,Attempts to Commit Suicide,
2014,Dhule,Attempts to Commit Suicide,
2014,Gadchiroli,Attempts to Commit Suicide,
2014,Gondia,Attempts to Commit Suicide,
2014,Hingoli,Attempts to Commit Suicide,
2014,Jalgaon,Attempts to Commit Suicide,
2014,Jalna,Attempts to Commit Suicide,
