Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2001,Sangli,Born in India,2582932,1319747,1263185,1950105,994018,956087,632827,325729,307098
2001,Sangli,Born Abroad,592,341,251,201,137,64,391,204,187
2001,Sangli,Unclassifiable,0,0,0,0,0,0,0,0,0
2011,Nandurbar,Born within India,1644621,831345,813276,1370139,686359,683780,274482,144986,129496
2011,Nandurbar,Born Outside India,827,425,402,340,176,164,487,249,238
2011,Nandurbar,Unclassifiable,2847,1400,1447,2342,1136,1206,505,264,241
2011,Dhule,Born within India,2049623,1053436,996187,1479271,758640,720631,570352,294796,275556
2011,Dhule,Born Outside India,1095,535,560,444,230,214,651,305,346
2011,Dhule,Unclassifiable,144,60,84,111,46,65,33,14,19
2011,Jalgaon,Born within India,4225570,2195197,2030373,2885426,1499677,1385749,1340144,695520,644624
2011,Jalgaon,Born Outside India,3958,1973,1985,1487,691,796,2471,1282,1189
2011,Jalgaon,Unclassifiable,389,195,194,293,146,147,96,49,47
2011,Buldana,Born within India,2585346,1337178,1248168,2036885,1055037,981848,548461,282141,266320
2011,Buldana,Born Outside India,855,363,492,472,194,278,383,169,214
2011,Buldana,Unclassifiable,57,19,38,41,11,30,16,8,8
2011,Akola,Born within India,1812715,931786,880929,1093767,563751,530016,718948,368035,350913
2011,Akola,Born Outside India,1145,523,622,373,169,204,772,354,418
2011,Akola,Unclassifiable,46,25,21,25,13,12,21,12,9
2011,Washim,Born within India,1195709,619465,576244,984562,511032,473530,211147,108433,102714
2011,Washim,Born Outside India,445,235,210,279,147,132,166,88,78
2011,Washim,Unclassifiable,1006,602,404,906,548,358,100,54,46
2011,Amravati,Born within India,2885845,1479577,1406268,1850386,950320,900066,1035459,529257,506202
2011,Amravati,Born Outside India,2497,1151,1346,719,293,426,1778,858,920
2011,Amravati,Unclassifiable,103,40,63,53,20,33,50,20,30
2011,Wardha,Born within India,1298393,667063,631330,876154,451100,425054,422239,215963,206276
2011,Wardha,Born Outside India,1274,637,637,508,252,256,766,385,381
2011,Wardha,Unclassifiable,1107,685,422,812,522,290,295,163,132
2011,Nagpur,Born within India,4646366,2381282,2265084,1474106,757980,716126,3172260,1623302,1548958
2011,Nagpur,Born Outside India,6663,3421,3242,533,289,244,6130,3132,2998
2011,Nagpur,Unclassifiable,541,272,269,172,88,84,369,184,185
2011,Bhandara,Born within India,1198589,604584,594005,965312,486824,478488,233277,117760,115517
2011,Bhandara,Born Outside India,642,311,331,339,164,175,303,147,156
2011,Bhandara,Unclassifiable,1103,625,478,852,496,356,251,129,122
2011,Gondia,Born within India,1317858,659206,658652,1092919,546074,546845,224939,113132,111807
2011,Gondia,Born Outside India,3171,1610,1561,2435,1244,1191,736,366,370
2011,Gondia,Unclassifiable,1478,738,740,1223,616,607,255,122,133
2011,Gadchiroli,Born within India,1060691,535008,525683,942961,475116,467845,117730,59892,57838
2011,Gadchiroli,Born Outside India,10746,5517,5229,10552,5428,5124,194,89,105
2011,Gadchiroli,Unclassifiable,1505,803,702,1396,746,650,109,57,52
2011,Chandrapur,Born within India,2200866,1122061,1078805,1428296,725823,702473,772570,396238,376332
2011,Chandrapur,Born Outside India,3363,1746,1617,604,278,326,2759,1468,1291
2011,Chandrapur,Unclassifiable,78,27,51,29,5,24,49,22,27
2011,Yavatmal,Born within India,2771025,1419333,1351692,2173412,1114787,1058625,597613,304546,293067
2011,Yavatmal,Born Outside India,1151,543,608,655,298,357,496,245,251
2011,Yavatmal,Unclassifiable,172,89,83,128,63,65,44,26,18
2011,Nanded,Born within India,3360590,1729774,1630816,2447064,1258050,1189014,913526,471724,441802
2011,Nanded,Born Outside India,609,270,339,274,94,180,335,176,159
2011,Nanded,Unclassifiable,93,31,62,56,16,40,37,15,22
2011,Hingoli,Born within India,1176809,606039,570770,998185,514224,483961,178624,91815,86809
